,real,pred
0,83.35,68.62
1,83.35,69.08
2,83.35,68.86
3,83.35,69.09
4,66.93,69.44
5,83.35,68.88
6,83.35,69.55
7,66.99,69.76
8,69.13,69.42
9,67.85,69.59
10,70.02,69.65
11,68.66,70.0
12,70.85,69.69
13,66.66,69.84
14,70.56,71.26
15,66.52,71.09
16,65.9,70.19
17,68.2,71.45
18,69.9,70.09
19,66.29,71.2
20,70.0,70.53
21,65.95,69.48
22,69.53,68.83
23,68.53,69.38
24,67.14,69.06
25,66.68,68.47
26,68.29,68.79
27,66.89,68.94
28,67.47,68.87
29,67.89,69.07
30,68.83,68.96
31,69.56,68.9
32,66.12,69.09
33,69.9,69.55
34,70.27,69.07
35,68.0,69.18
36,69.9,69.21
37,66.21,69.04
38,67.44,69.07
39,69.16,69.69
40,69.12,69.68
41,66.46,69.7
42,65.9,69.3
