,real,pred
0,83.35,69.98
1,83.35,70.15
2,83.35,70.25
3,83.35,70.1
4,66.93,70.76
5,83.35,71.56
6,83.35,70.07
7,66.99,70.24
8,69.13,71.15
9,67.85,70.91
10,70.02,71.93
11,68.66,70.47
12,70.85,69.17
13,66.66,68.89
14,70.56,68.82
15,66.52,70.45
16,65.9,70.14
17,68.2,70.55
18,69.9,70.69
19,66.29,70.08
20,70.0,69.93
21,65.95,68.25
22,69.53,68.74
23,68.53,68.24
24,67.14,68.66
25,66.68,69.73
26,68.29,69.27
27,66.89,69.13
28,67.47,69.37
29,67.89,68.97
30,68.83,69.11
31,69.56,70.46
32,66.12,72.69
33,69.9,71.33
34,70.27,70.89
35,68.0,70.5
36,69.9,69.55
37,66.21,70.79
38,67.44,71.71
39,69.16,70.28
40,69.12,71.53
41,66.46,70.01
42,65.9,69.64
