,real,pred
0,83.35,69.2
1,83.35,68.8
2,83.35,69.07
3,83.35,69.45
4,66.93,69.28
5,83.35,69.41
6,83.35,69.79
7,66.99,69.95
8,69.13,70.13
9,67.85,70.31
10,70.02,69.76
11,68.66,70.4
12,70.85,69.96
13,66.66,70.29
14,70.56,70.18
15,66.52,70.4
16,65.9,71.3
17,68.2,71.3
18,69.9,70.84
19,66.29,70.02
20,70.0,69.71
21,65.95,69.74
22,69.53,69.77
23,68.53,69.77
24,67.14,69.13
25,66.68,69.37
26,68.29,69.07
27,66.89,68.88
28,67.47,69.03
29,67.89,69.24
30,68.83,68.95
31,69.56,68.21
32,66.12,68.92
33,69.9,68.62
34,70.27,68.56
35,68.0,68.84
36,69.9,68.88
37,66.21,69.42
38,67.44,69.62
39,69.16,70.73
40,69.12,69.7
41,66.46,70.87
42,65.9,70.29
