,real,pred
0,83.35,69.87
1,83.35,70.62
2,83.35,69.87
3,83.35,68.35
4,66.93,68.24
5,83.35,69.09
6,83.35,70.21
7,66.99,70.71
8,69.13,69.43
9,67.85,69.39
10,70.02,72.32
11,68.66,70.44
12,70.85,72.74
13,66.66,72.56
14,70.56,70.84
15,66.52,71.56
16,65.9,71.86
17,68.2,70.03
18,69.9,70.77
19,66.29,72.25
20,70.0,70.58
21,65.95,70.24
22,69.53,69.29
23,68.53,68.76
24,67.14,68.48
25,66.68,69.61
26,68.29,67.93
27,66.89,68.56
28,67.47,68.15
29,67.89,68.92
30,68.83,69.14
31,69.56,69.42
32,66.12,70.03
33,69.9,69.35
34,70.27,70.54
35,68.0,70.82
36,69.9,70.49
37,66.21,71.02
38,67.44,72.41
39,69.16,70.04
40,69.12,71.26
41,66.46,70.25
42,65.9,70.98
