,real,pred
0,83.35,68.74
1,83.35,68.46
2,83.35,68.72
3,83.35,68.5
4,66.93,68.1
5,83.35,68.56
6,83.35,69.54
7,66.99,69.68
8,69.13,70.83
9,67.85,69.73
10,70.02,69.8
11,68.66,69.05
12,70.85,69.01
13,66.66,68.72
14,70.56,69.24
15,66.52,71.57
16,65.9,71.13
17,68.2,69.94
18,69.9,71.28
19,66.29,70.48
20,70.0,70.84
21,65.95,69.38
22,69.53,69.02
23,68.53,68.7
24,67.14,69.3
25,66.68,70.58
26,68.29,70.06
27,66.89,69.9
28,67.47,69.69
29,67.89,71.14
30,68.83,70.73
31,69.56,71.27
32,66.12,71.55
33,69.9,70.99
34,70.27,70.22
35,68.0,69.73
36,69.9,69.06
37,66.21,70.37
38,67.44,70.52
39,69.16,71.1
40,69.12,69.46
41,66.46,70.05
42,65.9,70.18
