,real,pred
0,83.35,69.39
1,83.35,70.13
2,83.35,69.18
3,83.35,69.1
4,66.93,69.17
5,83.35,69.35
6,83.35,69.26
7,66.99,69.27
8,69.13,69.2
9,67.85,68.9
10,70.02,69.26
11,68.66,69.02
12,70.85,69.07
13,66.66,69.73
14,70.56,69.62
15,66.52,69.93
16,65.9,69.87
17,68.2,70.09
18,69.9,70.85
19,66.29,70.37
20,70.0,69.91
21,65.95,69.29
22,69.53,69.64
23,68.53,68.99
24,67.14,68.94
25,66.68,69.64
26,68.29,69.68
27,66.89,70.38
28,67.47,70.64
29,67.89,71.03
30,68.83,71.45
31,69.56,71.64
32,66.12,70.72
33,69.9,70.65
34,70.27,70.02
35,68.0,70.23
36,69.9,70.02
37,66.21,69.33
38,67.44,69.81
39,69.16,69.41
40,69.12,70.07
41,66.46,70.29
42,65.9,70.93
