,real,pred
0,71.1,69.43
1,69.71,70.28
2,69.23,69.56
3,67.09,70.26
4,71.03,70.29
5,68.71,70.14
6,70.72,70.41
7,70.16,69.91
8,71.55,69.86
9,70.2,70.28
10,68.51,70.46
11,70.65,70.84
12,70.37,69.9
13,70.93,69.75
14,70.58,70.42
15,70.41,70.23
16,70.43,69.92
17,68.91,69.91
18,69.1,70.29
19,68.12,70.21
20,67.5,70.33
21,69.42,68.88
22,69.54,69.78
23,66.56,69.6
24,66.44,70.43
25,74.56,69.5
26,73.74,70.1
27,72.19,70.8
28,74.42,70.63
29,73.11,70.2
30,73.3,69.84
31,73.63,69.57
32,67.15,70.3
33,68.82,70.66
34,68.56,70.32
35,71.96,70.52
36,68.18,69.89
37,72.67,70.33
38,78.76,71.1
39,68.43,70.58
40,70.34,70.01
41,66.68,70.39
42,68.21,70.79
43,70.98,70.52
44,71.39,69.78
45,71.0,70.78
46,68.02,70.84
47,73.62,70.69
48,70.34,69.95
49,69.14,69.61
50,69.58,69.13
51,66.75,70.04
52,70.25,69.45
53,65.99,70.9
54,67.38,70.62
55,69.22,71.29
56,70.26,70.48
57,66.02,70.32
58,68.78,70.36
59,69.55,69.65
60,65.92,69.84
61,70.97,69.96
62,70.88,69.25
63,69.68,70.36
64,68.87,70.51
65,68.27,69.56
66,65.36,69.3
67,67.17,69.56
68,83.35,69.9
69,65.78,69.48
70,83.35,70.33
71,71.31,70.23
72,65.38,70.23
73,83.36,70.0
74,61.82,69.23
75,83.35,69.53
76,65.7,68.96
77,68.7,70.16
78,70.44,69.95
79,83.35,70.16
80,83.35,69.53
81,65.48,69.74
82,69.07,69.81
83,83.35,69.73
84,70.97,68.64
85,83.35,68.91
86,66.48,69.8
87,70.33,70.2
88,66.72,68.92
89,67.66,68.64
90,83.35,69.07
91,83.35,68.83
92,67.66,69.1
93,83.36,68.96
94,83.35,70.07
95,68.09,69.63
96,71.48,69.95
97,67.64,69.94
98,72.45,69.98
99,71.74,69.11
100,73.24,69.25
101,72.59,69.49
102,71.31,69.74
103,70.66,69.48
104,71.52,70.06
105,69.75,69.24
106,71.46,69.56
107,71.39,69.35
108,71.0,69.49
109,66.38,68.51
110,71.19,68.92
111,66.95,68.03
112,66.6,69.04
113,71.02,68.33
114,66.74,69.39
115,71.14,69.52
116,67.45,70.53
117,70.31,70.51
118,71.14,69.99
119,66.13,69.82
120,70.35,69.87
121,66.12,70.19
122,65.51,70.55
123,69.58,70.04
124,71.26,69.37
125,66.68,70.34
126,71.86,69.76
127,70.42,69.25
128,72.22,69.74
129,69.85,70.27
130,67.19,69.27
131,67.63,69.54
132,71.21,70.17
133,66.94,70.09
134,66.63,70.49
135,69.43,70.6
136,65.93,70.11
137,68.63,70.39
138,70.53,70.45
139,70.69,69.83
140,65.17,69.78
141,70.89,70.11
142,71.07,70.2
143,71.04,70.38
144,69.09,69.64
145,69.63,70.13
146,66.69,70.26
147,70.65,70.36
148,66.5,69.79
149,70.18,70.05
150,66.2,70.09
151,64.61,70.47
152,72.17,70.45
153,70.35,70.46
154,70.72,70.39
155,69.87,70.06
156,60.98,70.31
157,74.52,70.0
158,68.9,70.03
159,68.87,70.71
160,67.58,70.68
161,65.05,70.54
162,60.93,70.51
163,69.22,69.98
164,70.81,70.23
165,65.92,71.18
166,69.42,70.95
167,69.82,71.04
168,68.67,70.39
169,69.48,69.85
170,69.91,69.88
171,69.64,69.37
172,69.56,69.71
173,69.35,70.07
174,69.4,70.03
175,69.03,69.93
176,68.75,69.67
177,68.81,70.31
178,69.92,70.76
179,68.15,70.6
180,76.4,69.64
181,72.03,69.89
182,71.01,70.53
183,73.21,70.33
184,70.85,70.23
185,58.36,70.03
186,71.26,70.55
187,67.85,70.43
188,66.12,70.02
189,65.87,69.92
190,69.75,70.39
