,real,pred
0,71.1,69.7
1,69.71,69.03
2,69.23,69.12
3,67.09,69.8
4,71.03,69.5
5,68.71,70.04
6,70.72,70.29
7,70.16,69.73
8,71.55,70.02
9,70.2,69.91
10,68.51,69.67
11,70.65,70.09
12,70.37,69.02
13,70.93,70.0
14,70.58,69.84
15,70.41,70.01
16,70.43,69.4
17,68.91,69.55
18,69.1,69.0
19,68.12,69.92
20,67.5,69.55
21,69.42,68.95
22,69.54,69.07
23,66.56,69.99
24,66.44,71.32
25,74.56,69.79
26,73.74,70.26
27,72.19,70.12
28,74.42,71.12
29,73.11,71.11
30,73.3,69.93
31,73.63,69.91
32,67.15,70.19
33,68.82,70.94
34,68.56,70.97
35,71.96,70.15
36,68.18,69.65
37,72.67,70.63
38,78.76,71.22
39,68.43,70.35
40,70.34,69.47
41,66.68,69.66
42,68.21,69.99
43,70.98,69.69
44,71.39,69.04
45,71.0,69.74
46,68.02,69.77
47,73.62,69.75
48,70.34,69.1
49,69.14,68.96
50,69.58,68.87
51,66.75,69.55
52,70.25,69.78
53,65.99,70.24
54,67.38,69.81
55,69.22,70.95
56,70.26,70.53
57,66.02,69.7
58,68.78,69.73
59,69.55,68.79
60,65.92,69.31
61,70.97,69.8
62,70.88,69.68
63,69.68,69.25
64,68.87,68.97
65,68.27,69.58
66,65.36,68.65
67,67.17,68.36
68,83.35,68.36
69,65.78,69.03
70,83.35,68.97
71,71.31,69.21
72,65.38,70.12
73,83.36,68.86
74,61.82,68.85
75,83.35,68.9
76,65.7,70.25
77,68.7,69.67
78,70.44,69.36
79,83.35,69.14
80,83.35,69.08
81,65.48,68.86
82,69.07,69.35
83,83.35,68.74
84,70.97,68.85
85,83.35,68.86
86,66.48,69.35
87,70.33,69.06
88,66.72,68.5
89,67.66,68.25
90,83.35,68.7
91,83.35,68.63
92,67.66,68.15
93,83.36,68.06
94,83.35,68.37
95,68.09,69.05
96,71.48,69.82
97,67.64,69.44
98,72.45,68.67
99,71.74,68.67
100,73.24,69.68
101,72.59,69.51
102,71.31,68.45
103,70.66,68.84
104,71.52,69.89
105,69.75,69.63
106,71.46,69.62
107,71.39,70.16
108,71.0,69.95
109,66.38,69.64
110,71.19,69.18
111,66.95,69.06
112,66.6,68.54
113,71.02,69.55
114,66.74,69.94
115,71.14,70.36
116,67.45,69.59
117,70.31,69.95
118,71.14,69.91
119,66.13,69.31
120,70.35,69.11
121,66.12,69.4
122,65.51,69.34
123,69.58,68.72
124,71.26,69.35
125,66.68,69.8
126,71.86,69.43
127,70.42,69.08
128,72.22,69.15
129,69.85,69.3
130,67.19,69.0
131,67.63,69.28
132,71.21,70.16
133,66.94,70.06
134,66.63,69.41
135,69.43,69.78
136,65.93,69.67
137,68.63,68.97
138,70.53,68.83
139,70.69,68.98
140,65.17,68.67
141,70.89,69.17
142,71.07,69.27
143,71.04,69.72
144,69.09,69.38
145,69.63,69.31
146,66.69,69.88
147,70.65,69.6
148,66.5,68.66
149,70.18,68.89
150,66.2,69.91
151,64.61,69.66
152,72.17,69.27
153,70.35,68.15
154,70.72,68.93
155,69.87,69.78
156,60.98,69.41
157,74.52,69.33
158,68.9,69.07
159,68.87,69.69
160,67.58,70.12
161,65.05,70.19
162,60.93,69.36
163,69.22,69.66
164,70.81,69.62
165,65.92,69.78
166,69.42,69.91
167,69.82,69.92
168,68.67,68.89
169,69.48,68.61
170,69.91,69.15
171,69.64,69.43
172,69.56,69.81
173,69.35,69.41
174,69.4,70.86
175,69.03,70.35
176,68.75,69.3
177,68.81,69.51
178,69.92,70.4
179,68.15,69.58
180,76.4,68.87
181,72.03,69.03
182,71.01,70.16
183,73.21,69.51
184,70.85,68.64
185,58.36,69.19
186,71.26,70.68
187,67.85,69.54
188,66.12,68.64
189,65.87,68.94
190,69.75,70.06
