,real,pred
0,69.23,70.1
1,67.09,70.54
2,71.03,70.24
3,68.71,70.29
4,70.72,70.13
5,70.16,70.18
6,71.55,70.48
7,70.2,70.65
8,68.51,70.7
9,70.65,70.39
10,70.37,70.26
11,70.93,70.72
12,70.58,70.33
13,70.41,70.3
14,70.43,70.51
15,68.91,70.14
16,69.1,70.48
17,68.12,70.29
18,67.5,70.68
19,69.42,70.37
20,69.54,70.42
21,66.56,70.28
22,66.44,70.35
23,74.56,69.96
24,73.74,69.76
25,72.19,69.83
26,74.42,70.53
27,73.11,70.64
28,73.3,70.68
29,73.63,70.77
30,67.15,70.38
31,68.82,70.09
32,68.56,69.98
33,71.96,69.91
34,68.18,70.02
35,72.67,69.94
36,78.76,69.81
37,68.43,70.04
38,70.34,69.6
39,66.68,69.88
40,68.21,69.57
41,70.98,69.23
42,71.39,69.53
43,71.0,69.4
44,68.02,69.8
45,73.62,69.72
46,70.34,69.45
47,69.14,69.43
48,69.58,69.76
49,66.75,69.55
50,70.25,69.28
51,65.99,69.33
52,67.38,68.96
53,69.22,69.44
54,70.26,69.23
55,66.02,69.58
56,68.78,69.19
57,69.55,69.15
58,65.92,69.05
59,70.97,68.88
60,70.88,69.03
61,69.68,68.75
62,68.87,69.34
63,68.27,69.05
64,65.36,69.45
65,67.17,69.6
66,83.35,69.75
67,65.78,69.64
68,83.35,69.49
69,71.31,69.67
70,65.38,69.71
71,83.36,69.29
72,61.82,69.43
73,83.35,69.5
74,65.7,69.79
75,68.7,69.48
76,70.44,69.38
77,83.35,69.72
78,83.35,69.25
79,65.48,69.4
80,69.07,69.55
81,83.35,69.89
82,70.97,69.66
83,83.35,69.65
84,66.48,69.25
85,70.33,69.17
86,66.72,69.47
87,67.66,69.49
88,83.35,69.59
89,83.35,69.37
90,67.66,69.57
91,83.36,69.8
92,83.35,69.62
93,68.09,69.87
94,71.48,70.19
95,67.64,70.15
96,72.45,70.09
97,71.74,69.76
98,73.24,70.24
99,72.59,70.12
100,71.31,69.83
101,70.66,70.22
102,71.52,70.0
103,69.75,70.2
104,71.46,70.36
105,71.39,70.41
106,71.0,70.26
107,66.38,70.3
108,71.19,70.07
109,66.95,69.8
110,66.6,69.79
111,71.02,69.5
112,66.74,69.62
113,71.14,69.59
114,67.45,69.07
115,70.31,69.37
116,71.14,69.45
117,66.13,69.39
118,70.35,69.43
119,66.12,69.53
120,65.51,69.29
121,69.58,69.34
122,71.26,69.33
123,66.68,69.29
124,71.86,69.06
125,70.42,69.21
126,72.22,69.59
127,69.85,69.51
128,67.19,69.34
129,67.63,69.48
130,71.21,69.74
131,66.94,69.3
132,66.63,69.47
133,69.43,69.57
134,65.93,69.68
135,68.63,68.55
136,70.53,68.23
137,70.69,69.09
138,65.17,69.05
139,70.89,69.11
140,71.07,69.7
141,71.04,69.49
142,69.09,69.39
143,69.63,69.52
144,66.69,69.53
145,70.65,69.42
146,66.5,69.32
147,70.18,69.76
148,66.2,69.41
149,64.61,68.96
150,72.17,68.82
151,70.35,68.9
152,70.72,69.58
153,69.87,69.77
154,60.98,69.77
155,74.52,70.0
156,68.9,69.75
157,68.87,69.38
158,67.58,69.85
159,65.05,70.42
160,60.93,69.54
161,69.22,69.42
162,70.81,69.44
163,65.92,69.45
164,69.42,68.98
165,69.82,69.26
166,68.67,68.97
167,69.48,68.59
168,69.91,68.87
169,69.64,69.04
170,69.56,69.47
171,69.35,69.54
172,69.4,69.38
173,69.03,69.5
174,68.75,69.34
175,68.81,69.42
176,69.92,69.18
177,68.15,69.14
178,76.4,68.98
179,72.03,69.29
180,71.01,70.05
181,73.21,69.87
182,70.85,69.65
183,58.36,69.86
184,71.26,69.75
185,67.85,69.76
186,66.12,69.95
187,65.87,69.5
188,69.75,69.95
