,real,pred
0,68.21,70.79
1,70.98,70.53
2,71.39,69.75
3,71.0,70.29
4,68.02,70.46
5,73.62,70.45
6,70.34,70.87
7,69.14,69.89
8,69.58,70.06
9,66.75,70.29
10,70.25,70.4
11,65.99,70.51
12,67.38,70.36
13,69.22,70.37
14,70.26,70.14
15,66.02,69.47
16,68.78,69.88
17,69.55,69.63
18,65.92,69.8
19,70.97,70.18
20,70.88,70.39
21,69.68,71.0
22,68.87,70.38
23,68.27,70.43
24,65.36,70.12
25,67.17,70.09
26,83.35,70.45
27,65.78,69.62
28,83.35,70.11
29,71.31,70.1
30,65.38,70.62
31,83.36,70.2
32,61.82,70.22
33,83.35,69.84
34,65.7,69.99
35,68.7,70.2
36,70.44,70.44
37,83.35,69.58
38,83.35,69.75
39,65.48,69.2
40,69.07,69.38
41,83.35,69.9
42,70.97,69.84
43,83.35,69.64
44,66.48,69.75
45,70.33,69.47
46,66.72,69.34
47,67.66,69.48
48,83.35,69.79
49,83.35,69.32
50,67.66,69.89
51,83.36,69.49
52,83.35,69.48
53,68.09,69.45
54,71.48,69.4
55,67.64,69.5
56,72.45,69.03
57,71.74,69.22
58,73.24,69.49
59,72.59,69.56
60,71.31,69.06
61,70.66,69.19
62,71.52,69.57
63,69.75,69.74
64,71.46,69.53
65,71.39,69.62
66,71.0,69.75
67,66.38,69.77
68,71.19,69.61
69,66.95,70.36
70,66.6,69.9
71,71.02,69.47
72,66.74,69.74
73,71.14,70.36
74,67.45,70.6
75,70.31,70.18
76,71.14,70.56
77,66.13,70.19
78,70.35,69.92
79,66.12,69.78
80,65.51,69.34
81,69.58,69.36
82,71.26,69.04
83,66.68,69.67
84,71.86,69.52
85,70.42,69.1
86,72.22,69.28
87,69.85,69.51
88,67.19,69.69
89,67.63,69.39
90,71.21,69.6
91,66.94,69.92
92,66.63,70.3
93,69.43,70.39
94,65.93,69.87
95,68.63,69.26
96,70.53,68.89
97,70.69,69.51
98,65.17,69.73
99,70.89,69.41
100,71.07,69.34
101,71.04,69.73
102,69.09,69.95
103,69.63,69.45
104,66.69,69.73
105,70.65,69.48
106,66.5,69.85
107,70.18,69.62
108,66.2,70.02
109,64.61,69.47
110,72.17,69.3
111,70.35,69.76
112,70.72,69.54
113,69.87,69.17
114,60.98,69.31
115,74.52,69.31
116,68.9,69.28
117,68.87,69.78
118,67.58,69.7
119,65.05,69.92
120,60.93,69.8
121,69.22,69.66
122,70.81,69.7
123,65.92,69.93
124,69.42,69.54
125,69.82,69.52
126,68.67,69.8
127,69.48,69.39
128,69.91,69.65
129,69.64,69.74
130,69.56,69.96
131,69.35,70.09
132,69.4,69.72
133,69.03,69.51
134,68.75,69.19
135,68.81,69.39
136,69.92,69.1
137,68.15,69.32
138,76.4,68.4
139,72.03,68.69
140,71.01,69.28
141,73.21,68.63
142,70.85,68.68
143,58.36,68.84
144,71.26,69.25
145,67.85,69.3
146,66.12,69.49
147,65.87,69.49
148,69.75,69.08
