,real,pred
0,69.23,69.67
1,67.09,69.6
2,71.03,70.41
3,68.71,70.4
4,70.72,71.06
5,70.16,70.63
6,71.55,70.33
7,70.2,71.07
8,68.51,71.34
9,70.65,71.78
10,70.37,71.21
11,70.93,70.85
12,70.58,71.81
13,70.41,71.67
14,70.43,71.16
15,68.91,71.24
16,69.1,70.98
17,68.12,71.2
18,67.5,71.59
19,69.42,70.92
20,69.54,71.34
21,66.56,70.69
22,66.44,72.64
23,74.56,71.18
24,73.74,70.88
25,72.19,71.28
26,74.42,71.73
27,73.11,72.45
28,73.3,71.08
29,73.63,71.61
30,67.15,71.08
31,68.82,70.89
32,68.56,71.3
33,71.96,70.69
34,68.18,69.95
35,72.67,70.78
36,78.76,70.96
37,68.43,71.1
38,70.34,71.16
39,66.68,70.9
40,68.21,71.74
41,70.98,71.2
42,71.39,70.45
43,71.0,71.25
44,68.02,71.41
45,73.62,71.42
46,70.34,70.44
47,69.14,70.23
48,69.58,69.81
49,66.75,70.29
50,70.25,70.13
51,65.99,69.76
52,67.38,69.82
53,69.22,69.61
54,70.26,70.4
55,66.02,70.01
56,68.78,69.55
57,69.55,68.54
58,65.92,68.62
59,70.97,69.25
60,70.88,69.17
61,69.68,69.9
62,68.87,69.83
63,68.27,69.78
64,65.36,68.97
65,67.17,68.81
66,83.35,69.12
67,65.78,68.76
68,83.35,68.99
69,71.31,68.88
70,65.38,69.76
71,83.36,68.64
72,61.82,68.14
73,83.35,68.74
74,65.7,68.97
75,68.7,69.43
76,70.44,68.88
77,83.35,68.16
78,83.35,68.29
79,65.48,68.8
80,69.07,69.18
81,83.35,68.95
82,70.97,68.56
83,83.35,66.95
84,66.48,66.65
85,70.33,67.75
86,66.72,67.74
87,67.66,68.09
88,83.35,67.55
89,83.35,67.67
90,67.66,68.89
91,83.36,69.05
92,83.35,68.35
93,68.09,67.87
94,71.48,68.97
95,67.64,68.82
96,72.45,68.12
97,71.74,68.33
98,73.24,69.02
99,72.59,69.92
100,71.31,69.12
101,70.66,69.33
102,71.52,69.81
103,69.75,69.52
104,71.46,70.23
105,71.39,70.55
106,71.0,70.84
107,66.38,69.72
108,71.19,68.22
109,66.95,69.41
110,66.6,69.8
111,71.02,69.31
112,66.74,69.62
113,71.14,69.89
114,67.45,69.96
115,70.31,70.36
116,71.14,71.15
117,66.13,70.07
118,70.35,69.1
119,66.12,70.4
120,65.51,70.47
121,69.58,70.13
122,71.26,69.4
123,66.68,70.65
124,71.86,70.26
125,70.42,68.97
126,72.22,69.59
127,69.85,70.43
128,67.19,70.27
129,67.63,69.85
130,71.21,70.31
131,66.94,69.85
132,66.63,69.7
133,69.43,69.5
134,65.93,69.47
135,68.63,69.59
136,70.53,68.74
137,70.69,69.08
138,65.17,69.79
139,70.89,69.78
140,71.07,70.55
141,71.04,69.83
142,69.09,68.83
143,69.63,68.4
144,66.69,69.44
145,70.65,69.31
146,66.5,68.53
147,70.18,68.45
148,66.2,69.57
149,64.61,69.5
150,72.17,68.34
151,70.35,69.42
152,70.72,69.28
153,69.87,69.39
154,60.98,70.13
155,74.52,70.0
156,68.9,69.1
157,68.87,68.52
158,67.58,69.61
159,65.05,69.48
160,60.93,68.53
161,69.22,67.62
162,70.81,68.11
163,65.92,69.71
164,69.42,69.17
165,69.82,68.97
166,68.67,68.96
167,69.48,68.41
168,69.91,69.54
169,69.64,69.22
170,69.56,69.04
171,69.35,69.04
172,69.4,68.84
173,69.03,69.46
174,68.75,69.53
175,68.81,68.38
176,69.92,69.32
177,68.15,68.64
178,76.4,68.16
179,72.03,68.04
180,71.01,68.64
181,73.21,69.36
182,70.85,69.39
183,58.36,69.08
184,71.26,69.31
185,67.85,69.17
186,66.12,69.75
187,65.87,69.2
188,69.75,69.6
