,real,pred
0,68.21,70.64
1,70.98,70.37
2,71.39,70.58
3,71.0,70.57
4,68.02,69.92
5,73.62,69.96
6,70.34,70.43
7,69.14,70.67
8,69.58,70.37
9,66.75,70.89
10,70.25,70.82
11,65.99,70.41
12,67.38,70.44
13,69.22,70.77
14,70.26,70.76
15,66.02,70.3
16,68.78,70.47
17,69.55,70.17
18,65.92,70.07
19,70.97,70.81
20,70.88,70.02
21,69.68,70.44
22,68.87,70.47
23,68.27,70.12
24,65.36,70.39
25,67.17,70.2
26,83.35,69.93
27,65.78,69.62
28,83.35,69.63
29,71.31,70.0
30,65.38,69.75
31,83.36,69.52
32,61.82,68.89
33,83.35,69.61
34,65.7,69.65
35,68.7,69.34
36,70.44,69.05
37,83.35,68.6
38,83.35,68.5
39,65.48,69.01
40,69.07,68.68
41,83.35,68.94
42,70.97,68.83
43,83.35,68.25
44,66.48,68.26
45,70.33,68.91
46,66.72,68.36
47,67.66,68.89
48,83.35,68.48
49,83.35,68.22
50,67.66,68.61
51,83.36,68.89
52,83.35,68.9
53,68.09,69.02
54,71.48,68.82
55,67.64,69.02
56,72.45,68.84
57,71.74,68.88
58,73.24,69.57
59,72.59,69.48
60,71.31,69.26
61,70.66,68.57
62,71.52,68.62
63,69.75,68.55
64,71.46,68.51
65,71.39,68.66
66,71.0,68.61
67,66.38,68.04
68,71.19,67.94
69,66.95,68.27
70,66.6,68.06
71,71.02,67.67
72,66.74,68.1
73,71.14,68.24
74,67.45,68.25
75,70.31,68.45
76,71.14,68.79
77,66.13,69.55
78,70.35,69.17
79,66.12,68.83
80,65.51,68.29
81,69.58,68.38
82,71.26,68.71
83,66.68,69.06
84,71.86,69.01
85,70.42,68.54
86,72.22,69.16
87,69.85,69.53
88,67.19,69.23
89,67.63,69.6
90,71.21,69.62
91,66.94,69.53
92,66.63,69.27
93,69.43,69.77
94,65.93,69.59
95,68.63,69.44
96,70.53,69.47
97,70.69,69.78
98,65.17,69.45
99,70.89,68.7
100,71.07,68.33
101,71.04,68.26
102,69.09,68.66
103,69.63,68.83
104,66.69,68.91
105,70.65,68.93
106,66.5,68.18
107,70.18,68.57
108,66.2,69.6
109,64.61,69.16
110,72.17,68.98
111,70.35,69.07
112,70.72,68.91
113,69.87,68.91
114,60.98,68.73
115,74.52,68.53
116,68.9,69.23
117,68.87,69.48
118,67.58,69.46
119,65.05,69.53
120,60.93,70.14
121,69.22,69.21
122,70.81,69.69
123,65.92,70.09
124,69.42,70.02
125,69.82,69.19
126,68.67,68.89
127,69.48,69.37
128,69.91,69.83
129,69.64,69.62
130,69.56,69.91
131,69.35,69.35
132,69.4,69.12
133,69.03,70.04
134,68.75,69.38
135,68.81,68.93
136,69.92,69.09
137,68.15,69.03
138,76.4,69.31
139,72.03,69.29
140,71.01,69.74
141,73.21,69.35
142,70.85,68.92
143,58.36,69.35
144,71.26,69.7
145,67.85,69.52
146,66.12,69.21
147,65.87,69.57
148,69.75,69.43
