,real,pred
0,69.54,69.66
1,66.56,69.79
2,66.44,69.78
3,74.56,69.73
4,73.74,69.79
5,72.19,69.84
6,74.42,69.69
7,73.11,69.47
8,73.3,69.53
9,73.63,69.79
10,67.15,69.97
11,68.82,69.94
12,68.56,69.91
13,71.96,69.76
14,68.18,69.71
15,72.67,69.52
16,78.76,69.61
17,68.43,69.85
18,70.34,69.72
19,66.68,69.69
20,68.21,69.59
21,70.98,69.61
22,71.39,69.8
23,71.0,70.01
24,68.02,69.99
25,73.62,69.79
26,70.34,69.38
27,69.14,69.45
28,69.58,69.46
29,66.75,69.6
30,70.25,69.47
31,65.99,69.54
32,67.38,69.49
33,69.22,69.78
34,70.26,69.72
35,66.02,69.54
36,68.78,69.29
37,69.55,69.37
38,65.92,69.41
39,70.97,69.54
40,70.88,69.37
41,69.68,69.44
42,68.87,69.32
43,68.27,69.67
44,65.36,69.6
45,67.17,69.21
46,83.35,69.06
47,65.78,69.27
48,83.35,69.34
49,71.31,69.29
50,65.38,69.29
51,83.36,69.34
52,61.82,69.11
53,83.35,69.07
54,65.7,69.22
55,68.7,69.2
56,70.44,69.35
57,83.35,69.32
58,83.35,69.27
59,65.48,69.43
60,69.07,69.5
61,83.35,69.37
62,70.97,69.17
63,83.35,69.13
64,66.48,69.14
65,70.33,69.37
66,66.72,69.21
67,67.66,69.15
68,83.35,69.23
69,83.35,68.92
70,67.66,69.13
71,83.36,69.07
72,83.35,69.16
73,68.09,69.14
74,71.48,68.92
75,67.64,68.85
76,72.45,68.88
77,71.74,68.62
78,73.24,68.47
79,72.59,68.58
80,71.31,68.64
81,70.66,69.02
82,71.52,69.09
83,69.75,68.84
84,71.46,68.98
85,71.39,69.33
86,71.0,69.54
87,66.38,69.26
88,71.19,69.14
89,66.95,69.07
90,66.6,69.06
91,71.02,69.01
92,66.74,68.99
93,71.14,69.18
94,67.45,69.38
95,70.31,69.48
96,71.14,69.52
97,66.13,69.45
98,70.35,69.51
99,66.12,69.71
100,65.51,69.94
101,69.58,69.86
102,71.26,69.59
103,66.68,69.37
104,71.86,69.11
105,70.42,69.21
106,72.22,69.17
107,69.85,69.35
108,67.19,69.39
109,67.63,69.32
110,71.21,69.62
111,66.94,69.43
112,66.63,69.67
113,69.43,69.59
114,65.93,69.63
115,68.63,69.37
116,70.53,69.09
117,70.69,69.02
118,65.17,69.25
119,70.89,69.14
120,71.07,69.35
121,71.04,69.69
122,69.09,69.63
123,69.63,69.72
124,66.69,69.51
125,70.65,69.4
126,66.5,69.46
127,70.18,69.14
128,66.2,69.24
129,64.61,69.35
130,72.17,69.34
131,70.35,69.37
132,70.72,69.34
133,69.87,69.35
134,60.98,69.27
135,74.52,69.56
136,68.9,69.68
137,68.87,69.54
138,67.58,69.52
139,65.05,69.3
140,60.93,69.31
141,69.22,69.25
142,70.81,69.38
143,65.92,69.45
144,69.42,69.2
145,69.82,69.42
146,68.67,69.54
147,69.48,69.33
148,69.91,69.39
149,69.64,69.35
150,69.56,69.25
151,69.35,69.39
152,69.4,69.19
153,69.03,69.18
154,68.75,69.38
155,68.81,69.21
156,69.92,69.17
157,68.15,69.17
158,76.4,69.07
159,72.03,69.18
160,71.01,69.28
161,73.21,69.26
162,70.85,69.21
163,58.36,69.0
164,71.26,69.07
165,67.85,69.24
166,66.12,69.05
167,65.87,68.69
168,69.75,68.78
