,real,pred
0,69.54,70.01
1,66.56,70.03
2,66.44,70.57
3,74.56,69.86
4,73.74,69.79
5,72.19,69.33
6,74.42,69.42
7,73.11,69.26
8,73.3,69.3
9,73.63,70.08
10,67.15,70.14
11,68.82,69.29
12,68.56,69.7
13,71.96,69.55
14,68.18,70.04
15,72.67,70.22
16,78.76,69.76
17,68.43,69.75
18,70.34,69.63
19,66.68,69.5
20,68.21,69.82
21,70.98,69.06
22,71.39,69.66
23,71.0,69.06
24,68.02,69.55
25,73.62,69.61
26,70.34,69.68
27,69.14,69.36
28,69.58,69.15
29,66.75,69.84
30,70.25,69.39
31,65.99,69.39
32,67.38,69.53
33,69.22,69.19
34,70.26,69.68
35,66.02,69.88
36,68.78,69.32
37,69.55,68.76
38,65.92,68.9
39,70.97,68.9
40,70.88,68.79
41,69.68,69.13
42,68.87,69.22
43,68.27,69.73
44,65.36,69.18
45,67.17,68.91
46,83.35,68.34
47,65.78,68.98
48,83.35,68.17
49,71.31,67.92
50,65.38,68.37
51,83.36,69.01
52,61.82,68.0
53,83.35,68.28
54,65.7,68.79
55,68.7,68.84
56,70.44,68.66
57,83.35,68.85
58,83.35,68.59
59,65.48,68.32
60,69.07,68.65
61,83.35,68.68
62,70.97,68.64
63,83.35,68.51
64,66.48,68.59
65,70.33,68.84
66,66.72,68.42
67,67.66,68.42
68,83.35,68.52
69,83.35,68.46
70,67.66,68.45
71,83.36,68.23
72,83.35,68.59
73,68.09,68.09
74,71.48,67.57
75,67.64,67.95
76,72.45,67.63
77,71.74,67.23
78,73.24,67.64
79,72.59,67.5
80,71.31,68.33
81,70.66,67.9
82,71.52,68.37
83,69.75,67.64
84,71.46,67.42
85,71.39,67.76
86,71.0,67.8
87,66.38,67.87
88,71.19,67.72
89,66.95,68.21
90,66.6,68.1
91,71.02,67.79
92,66.74,67.75
93,71.14,68.04
94,67.45,68.72
95,70.31,68.45
96,71.14,68.69
97,66.13,68.57
98,70.35,68.8
99,66.12,69.14
100,65.51,69.36
101,69.58,68.99
102,71.26,68.86
103,66.68,69.39
104,71.86,69.25
105,70.42,68.81
106,72.22,69.31
107,69.85,69.37
108,67.19,69.53
109,67.63,69.41
110,71.21,69.37
111,66.94,69.55
112,66.63,69.79
113,69.43,69.23
114,65.93,68.94
115,68.63,68.66
116,70.53,68.28
117,70.69,68.58
118,65.17,68.8
119,70.89,68.53
120,71.07,68.68
121,71.04,68.98
122,69.09,68.93
123,69.63,69.46
124,66.69,69.29
125,70.65,69.39
126,66.5,69.88
127,70.18,69.49
128,66.2,69.13
129,64.61,69.27
130,72.17,68.98
131,70.35,68.88
132,70.72,68.8
133,69.87,68.53
134,60.98,69.16
135,74.52,69.08
136,68.9,68.85
137,68.87,69.1
138,67.58,68.94
139,65.05,68.82
140,60.93,69.27
141,69.22,69.3
142,70.81,69.24
143,65.92,69.12
144,69.42,68.79
145,69.82,68.98
146,68.67,68.95
147,69.48,69.22
148,69.91,69.54
149,69.64,69.15
150,69.56,69.5
151,69.35,69.33
152,69.4,68.91
153,69.03,69.52
154,68.75,69.81
155,68.81,69.36
156,69.92,69.57
157,68.15,68.79
158,76.4,68.61
159,72.03,68.86
160,71.01,69.01
161,73.21,68.49
162,70.85,68.69
163,58.36,68.96
164,71.26,68.74
165,67.85,68.81
166,66.12,68.42
167,65.87,67.86
168,69.75,68.2
