,real,pred
0,68.21,71.66
1,70.98,71.4
2,71.39,71.55
3,71.0,70.82
4,68.02,71.19
5,73.62,70.79
6,70.34,70.87
7,69.14,70.5
8,69.58,70.38
9,66.75,71.33
10,70.25,71.11
11,65.99,71.72
12,67.38,70.78
13,69.22,70.43
14,70.26,70.6
15,66.02,70.43
16,68.78,70.23
17,69.55,70.61
18,65.92,70.42
19,70.97,70.52
20,70.88,70.47
21,69.68,70.77
22,68.87,71.01
23,68.27,70.16
24,65.36,70.1
25,67.17,69.6
26,83.35,69.12
27,65.78,69.34
28,83.35,69.92
29,71.31,70.84
30,65.38,69.83
31,83.36,69.78
32,61.82,69.42
33,83.35,69.72
34,65.7,69.87
35,68.7,69.66
36,70.44,69.31
37,83.35,69.81
38,83.35,70.55
39,65.48,70.71
40,69.07,70.43
41,83.35,69.92
42,70.97,70.86
43,83.35,70.36
44,66.48,70.51
45,70.33,70.89
46,66.72,70.53
47,67.66,70.94
48,83.35,70.7
49,83.35,71.6
50,67.66,71.75
51,83.36,71.32
52,83.35,71.73
53,68.09,71.16
54,71.48,71.67
55,67.64,71.13
56,72.45,71.47
57,71.74,71.35
58,73.24,71.97
59,72.59,71.41
60,71.31,71.85
61,70.66,71.04
62,71.52,70.25
63,69.75,70.36
64,71.46,70.37
65,71.39,69.73
66,71.0,70.15
67,66.38,69.91
68,71.19,70.48
69,66.95,70.54
70,66.6,70.33
71,71.02,69.78
72,66.74,70.03
73,71.14,70.8
74,67.45,71.26
75,70.31,70.96
76,71.14,71.11
77,66.13,71.02
78,70.35,71.51
79,66.12,71.37
80,65.51,71.26
81,69.58,70.52
82,71.26,71.32
83,66.68,71.43
84,71.86,71.59
85,70.42,71.46
86,72.22,71.42
87,69.85,71.37
88,67.19,71.53
89,67.63,71.38
90,71.21,71.39
91,66.94,70.92
92,66.63,70.93
93,69.43,70.23
94,65.93,70.15
95,68.63,70.31
96,70.53,70.44
97,70.69,70.19
98,65.17,70.5
99,70.89,71.24
100,71.07,70.17
101,71.04,70.69
102,69.09,70.55
103,69.63,70.41
104,66.69,70.34
105,70.65,70.48
106,66.5,70.23
107,70.18,70.66
108,66.2,71.17
109,64.61,71.26
110,72.17,70.2
111,70.35,70.33
112,70.72,70.65
113,69.87,70.39
114,60.98,70.13
115,74.52,70.27
116,68.9,70.33
117,68.87,70.45
118,67.58,70.76
119,65.05,70.7
120,60.93,71.02
121,69.22,70.79
122,70.81,70.37
123,65.92,70.13
124,69.42,70.7
125,69.82,70.46
126,68.67,70.58
127,69.48,70.27
128,69.91,70.38
129,69.64,70.32
130,69.56,70.52
131,69.35,70.93
132,69.4,71.27
133,69.03,71.63
134,68.75,71.46
135,68.81,71.41
136,69.92,71.63
137,68.15,71.35
138,76.4,71.18
139,72.03,71.19
140,71.01,71.23
141,73.21,70.98
142,70.85,70.61
143,58.36,70.48
144,71.26,70.79
145,67.85,70.85
146,66.12,70.75
147,65.87,71.3
148,69.75,70.8
