,real,pred
0,69.23,69.37
1,67.09,69.24
2,71.03,69.73
3,68.71,69.49
4,70.72,69.61
5,70.16,69.36
6,71.55,70.09
7,70.2,70.2
8,68.51,70.18
9,70.65,70.32
10,70.37,70.31
11,70.93,69.66
12,70.58,69.76
13,70.41,70.47
14,70.43,69.75
15,68.91,69.79
16,69.1,69.29
17,68.12,70.48
18,67.5,70.18
19,69.42,69.68
20,69.54,70.08
21,66.56,70.09
22,66.44,70.78
23,74.56,70.19
24,73.74,70.04
25,72.19,70.38
26,74.42,70.9
27,73.11,70.82
28,73.3,70.69
29,73.63,70.49
30,67.15,70.96
31,68.82,70.77
32,68.56,70.57
33,71.96,70.11
34,68.18,69.93
35,72.67,70.47
36,78.76,70.75
37,68.43,70.34
38,70.34,70.05
39,66.68,69.7
40,68.21,70.3
41,70.98,69.61
42,71.39,69.76
43,71.0,69.92
44,68.02,70.3
45,73.62,70.04
46,70.34,69.82
47,69.14,69.38
48,69.58,69.01
49,66.75,68.84
50,70.25,69.06
51,65.99,68.98
52,67.38,68.94
53,69.22,69.13
54,70.26,69.34
55,66.02,69.2
56,68.78,69.23
57,69.55,69.21
58,65.92,69.24
59,70.97,69.45
60,70.88,68.98
61,69.68,68.8
62,68.87,68.97
63,68.27,69.04
64,65.36,68.75
65,67.17,68.58
66,83.35,69.01
67,65.78,68.76
68,83.35,68.72
69,71.31,68.7
70,65.38,68.94
71,83.36,68.82
72,61.82,68.6
73,83.35,68.69
74,65.7,68.53
75,68.7,68.69
76,70.44,68.69
77,83.35,68.85
78,83.35,68.68
79,65.48,68.78
80,69.07,69.2
81,83.35,68.93
82,70.97,68.85
83,83.35,68.65
84,66.48,68.63
85,70.33,68.75
86,66.72,68.48
87,67.66,68.52
88,83.35,68.48
89,83.35,68.44
90,67.66,68.57
91,83.36,68.76
92,83.35,68.91
93,68.09,68.78
94,71.48,69.26
95,67.64,68.98
96,72.45,69.01
97,71.74,69.02
98,73.24,69.02
99,72.59,68.88
100,71.31,68.88
101,70.66,69.43
102,71.52,69.45
103,69.75,69.78
104,71.46,69.81
105,71.39,69.93
106,71.0,70.33
107,66.38,70.21
108,71.19,69.61
109,66.95,69.53
110,66.6,69.53
111,71.02,69.3
112,66.74,69.0
113,71.14,69.32
114,67.45,69.5
115,70.31,69.77
116,71.14,69.32
117,66.13,69.13
118,70.35,69.37
119,66.12,69.23
120,65.51,69.48
121,69.58,69.44
122,71.26,69.21
123,66.68,69.79
124,71.86,69.31
125,70.42,68.87
126,72.22,69.1
127,69.85,69.5
128,67.19,68.97
129,67.63,68.96
130,71.21,69.24
131,66.94,69.22
132,66.63,69.28
133,69.43,69.53
134,65.93,69.13
135,68.63,69.06
136,70.53,69.08
137,70.69,68.87
138,65.17,68.73
139,70.89,69.17
140,71.07,69.57
141,71.04,69.54
142,69.09,68.98
143,69.63,69.16
144,66.69,69.18
145,70.65,69.26
146,66.5,68.85
147,70.18,68.58
148,66.2,68.76
149,64.61,68.7
150,72.17,68.77
151,70.35,68.63
152,70.72,68.81
153,69.87,68.67
154,60.98,68.93
155,74.52,68.8
156,68.9,68.8
157,68.87,68.81
158,67.58,68.97
159,65.05,68.79
160,60.93,68.71
161,69.22,68.87
162,70.81,68.88
163,65.92,69.06
164,69.42,69.19
165,69.82,69.01
166,68.67,68.97
167,69.48,68.66
168,69.91,69.07
169,69.64,68.85
170,69.56,68.65
171,69.35,68.73
172,69.4,69.25
173,69.03,68.81
174,68.75,68.82
175,68.81,68.49
176,69.92,68.77
177,68.15,68.58
178,76.4,68.51
179,72.03,68.67
180,71.01,68.95
181,73.21,69.37
182,70.85,68.92
183,58.36,68.84
184,71.26,68.87
185,67.85,68.94
186,66.12,68.67
187,65.87,69.06
188,69.75,68.93
