,mape,mae,mse,r2,time_step,filters,kernel_sizes,dilation_rates,unit_num
0,0.018936436293460795,1.2969565217391297,2.2239869565217343,0.0,40,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.020127461342649016,1.3739130434782612,2.8561652173913026,-4.2727670563601645,40,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.018381973526230132,1.2547826086956528,2.0217999999999994,-47.41878384006618,40,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.043431488271234796,3.0533333333333275,11.770866666666635,-153.02413492294355,60,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.02385330119962695,1.6266666666666698,2.988866666666668,-2133.9047619053226,60,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.0208330147701328,1.4200000000000017,2.5768666666666644,-18.757880388482025,60,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.03719597848402171,2.5900000000000034,7.976966666666688,-84.04228855721416,60,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.02389080078277596,1.6266666666666698,2.8277333333333403,-163.829015544034,60,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.026304132352415337,1.8066666666666673,4.285466666666665,-12051.874999996231,60,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.03077602029998927,2.123333333333335,5.809100000000005,-15.044282820843186,60,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.041466193283424685,2.903333333333331,10.09363333333332,-233.25141825682812,60,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.025551175354066286,1.75,3.7419666666666536,0.0,60,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.025230900809491974,1.7299999999999993,3.8846999999999894,-797.2260273972494,60,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.03415442430699132,2.346666666666664,6.1813333333333125,-10.196264691676104,60,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.021498002991564055,1.4533333333333331,2.1142,-47.76422347513997,60,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.025506230529595064,1.7466666666666697,3.715466666666678,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.025551175354066286,1.75,3.7419666666666536,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.021064933982333705,1.4333333333333371,2.3722000000000087,-56.176754151045266,60,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.025596107055961093,1.753333333333335,3.768666666666667,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.048254457461323313,3.326046511627905,32.24774418604649,-142.23207139253955,20,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.04793219776365716,3.3179069767441844,30.54840232558137,-654.5207690682954,20,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.04956733738914633,3.423488372093023,32.50715581395346,-86.32599462960034,20,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.04828907931749291,3.333953488372092,31.599865116279055,-363.98478047122785,20,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.04875504676413847,3.339999999999999,33.78276279069765,-202.2814644623795,20,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.047835495733103535,3.312093023255813,30.65466046511627,-380.8553327261021,20,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.04848080771298466,3.3458139534883715,32.36943023255812,-297.2279870844939,20,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.04761760016350445,3.2972093023255793,30.58691627906973,-950.9251894417524,20,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.04728610802510219,3.2393023255813933,33.53864418604648,-189.8362145634237,20,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.04800676551518555,3.3206976744186045,31.01283023255812,-407.9896644789323,20,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.04786700186427895,3.3039534883720916,31.6718302325581,-203.2592689092871,20,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.047820874557055706,3.2846511627906967,32.554367441860435,-443.3680192178202,20,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.04708676419073439,3.251395348837208,31.15889534883719,-328.87271516550646,20,128,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.04744511491983015,3.261162790697674,32.13936046511625,-3152.3588128541273,20,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.04985157268674555,3.4320930232558124,33.246190697674386,-271.7830531790277,20,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.04796860951590849,3.2960465116279063,32.48596511627903,-1379.3261658876627,20,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.02264070311036289,1.5743478260869543,4.115865217391296,-16.518322168278807,40,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.03044961000732627,2.1369565217391293,6.4753434782608625,-63.3089855366313,40,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.028395967722610486,1.991739130434782,6.215195652173912,-32.91559162301495,40,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.023080663838579013,1.603913043478262,4.0405347826087015,-22.59052270269084,40,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.02288794309413758,1.5882608695652174,3.738134782608692,-24.502753431794847,40,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.022302370810924194,1.5456521739130427,3.608213043478254,-117.39819742702248,40,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.02429466358299036,1.6891304347826073,4.278926086956516,-30.383474106281227,40,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.022470797326457105,1.5591304347826087,3.7576000000000023,-28.990681899106338,40,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.019650686547775777,1.350869565217391,2.525604347826088,-2135.3042852572735,40,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.019866211017693237,1.3673913043478256,2.636126086956518,-3.2633660316481676e+27,40,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.01985101262432709,1.355217391304348,2.3528217391304325,-10.095524679251765,40,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.020515294190346218,1.4121739130434772,2.7553043478260832,-133.98888641920487,40,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.019866211017693237,1.3673913043478256,2.636126086956518,-3.2633660316481676e+27,40,128,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.019866211017693237,1.3673913043478256,2.636126086956518,-3.2633660316481676e+27,40,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.022250679559219822,1.5386956521739124,3.5471434782608653,-19.033811427278003,40,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.02157915703147983,1.4930434782608686,3.2868521739130365,-107.9384492005424,40,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.03585582001525465,2.499999999999995,8.52779999999997,-588.479262672839,60,64,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.025888348375780176,1.7766666666666662,4.0966999999999985,-4981.472972971892,60,64,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.04035465899646656,2.826666666666663,10.254866666666656,-220.5405664906336,60,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.021875873137795352,1.4933333333333394,2.8628666666666795,-39.397930385702146,60,64,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.027451723508024262,1.8900000000000052,4.841366666666681,-2393.082417582106,60,64,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.026802054387336308,1.8433333333333337,4.582033333333329,-206190.49999978885,60,64,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.0331723225089392,2.303333333333337,7.3710999999999975,-10.338990872730983,60,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.02105241760234775,1.436666666666672,2.7904333333333433,-23.41561345518234,60,64,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
0,0.027204956917417002,1.8733333333333348,4.863066666666664,0.0,60,128,"[3, 5, 7]","[1, 2, 4, 8]",64
0,0.026283691684627606,1.8066666666666673,4.433666666666672,-1179.5621301773404,60,128,"[3, 5, 7]","[1, 2, 4, 8]",128
0,0.03010794093485092,2.0733333333333377,5.324133333333343,-36.22591671845834,60,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",64
0,0.02139600950986147,1.4433333333333376,2.1199000000000114,-71.43394077448879,60,128,"[3, 5, 7]","[1, 2, 4, 8, 16]",128
0,0.027204956917417002,1.8733333333333348,4.863066666666664,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8]",64
0,0.027204956917417002,1.8733333333333348,4.863066666666664,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8]",128
0,0.016760929951796448,1.1333333333333353,1.322200000000004,-8.027309968138422,60,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",64
0,0.027204956917417002,1.8733333333333348,4.863066666666664,0.0,60,128,"[5, 7, 9]","[1, 2, 4, 8, 16]",128
