,real,pred
0,83.35,68.82
1,83.35,69.53
2,83.35,68.77
3,83.35,69.06
4,66.93,69.66
5,83.35,70.03
6,83.35,71.89
7,66.99,72.73
8,69.13,71.2
9,67.85,71.55
10,70.02,73.06
11,68.66,70.9
12,70.85,71.99
13,66.66,72.96
14,70.56,72.96
15,66.52,71.5
16,65.9,69.93
17,68.2,69.62
18,69.9,71.08
19,66.29,70.03
20,70.0,70.0
21,65.95,69.84
22,69.53,69.43
23,68.53,69.51
24,67.14,71.05
25,66.68,71.19
26,68.29,69.9
27,66.89,69.54
28,67.47,70.67
29,67.89,71.07
30,68.83,68.84
31,69.56,69.43
32,66.12,69.58
33,69.9,70.64
34,70.27,69.58
35,68.0,69.63
36,69.9,70.48
37,66.21,71.27
38,67.44,71.55
39,69.16,70.15
40,69.12,69.73
41,66.46,69.69
42,65.9,69.93
