,real,pred
0,83.35,69.03
1,83.35,69.59
2,83.35,68.63
3,83.35,68.76
4,66.93,68.39
5,83.35,69.61
6,83.35,69.53
7,66.99,69.45
8,69.13,69.71
9,67.85,69.44
10,70.02,69.28
11,68.66,69.17
12,70.85,69.61
13,66.66,69.92
14,70.56,69.01
15,66.52,69.19
16,65.9,69.43
17,68.2,69.24
18,69.9,69.5
19,66.29,68.44
20,70.0,68.34
21,65.95,68.84
22,69.53,68.25
23,68.53,68.3
24,67.14,68.29
25,66.68,69.15
26,68.29,68.7
27,66.89,68.94
28,67.47,68.79
29,67.89,69.24
30,68.83,69.19
31,69.56,67.91
32,66.12,68.73
33,69.9,69.41
34,70.27,68.75
35,68.0,68.62
36,69.9,68.86
37,66.21,69.86
38,67.44,69.42
39,69.16,68.95
40,69.12,69.29
41,66.46,69.23
42,65.9,69.49
