,real,pred
0,67.5,69.78
1,69.42,70.0
2,69.54,69.85
3,66.56,70.16
4,66.44,70.42
5,74.56,70.16
6,73.74,70.01
7,72.19,69.91
8,74.42,69.53
9,73.11,69.44
10,73.3,69.44
11,73.63,69.54
12,67.15,69.82
13,68.82,69.69
14,68.56,69.84
15,71.96,69.74
16,68.18,69.61
17,72.67,69.66
18,78.76,69.53
19,68.43,69.57
20,70.34,69.51
21,66.68,69.4
22,68.21,69.32
23,70.98,69.18
24,71.39,69.36
25,71.0,69.57
26,68.02,69.7
27,73.62,69.53
28,70.34,69.12
29,69.14,69.23
30,69.58,69.08
31,66.75,69.31
32,70.25,69.35
33,65.99,69.61
34,67.38,69.61
35,69.22,69.47
36,70.26,69.63
37,66.02,69.36
38,68.78,69.28
39,69.55,69.42
40,65.92,69.11
41,70.97,69.02
42,70.88,69.2
43,69.68,69.47
44,68.87,69.35
45,68.27,69.45
46,65.36,69.07
47,67.17,69.08
48,83.35,68.88
49,65.78,68.99
50,83.35,69.0
51,71.31,69.23
52,65.38,69.05
53,83.36,69.18
54,61.82,68.84
55,83.35,68.78
56,65.7,68.86
57,68.7,68.83
58,70.44,68.88
59,83.35,68.97
60,83.35,68.93
61,65.48,68.97
62,69.07,69.0
63,83.35,68.96
64,70.97,68.86
65,83.35,68.78
66,66.48,68.81
67,70.33,68.86
68,66.72,68.92
69,67.66,68.96
70,83.35,69.05
71,83.35,68.73
72,67.66,68.74
73,83.36,68.85
74,83.35,68.85
75,68.09,68.87
76,71.48,68.84
77,67.64,68.88
78,72.45,68.8
79,71.74,68.86
80,73.24,68.84
81,72.59,68.84
82,71.31,68.8
83,70.66,68.77
84,71.52,68.78
85,69.75,68.73
86,71.46,68.73
87,71.39,68.78
88,71.0,68.78
89,66.38,68.79
90,71.19,68.85
91,66.95,68.98
92,66.6,69.06
93,71.02,68.98
94,66.74,68.83
95,71.14,68.76
96,67.45,68.79
97,70.31,68.81
98,71.14,69.03
99,66.13,68.92
100,70.35,69.12
101,66.12,69.65
102,65.51,69.93
103,69.58,69.23
104,71.26,69.37
105,66.68,69.07
106,71.86,69.17
107,70.42,68.99
108,72.22,69.03
109,69.85,69.36
110,67.19,69.18
111,67.63,69.13
112,71.21,69.48
113,66.94,69.27
114,66.63,69.75
115,69.43,69.43
116,65.93,69.39
117,68.63,69.17
118,70.53,68.83
119,70.69,68.76
120,65.17,68.94
121,70.89,68.89
122,71.07,69.03
123,71.04,69.24
124,69.09,69.29
125,69.63,69.14
126,66.69,69.37
127,70.65,69.23
128,66.5,69.38
129,70.18,69.22
130,66.2,68.97
131,64.61,69.2
132,72.17,68.9
133,70.35,69.0
134,70.72,68.96
135,69.87,68.83
136,60.98,68.86
137,74.52,69.16
138,68.9,69.46
139,68.87,69.62
140,67.58,69.51
141,65.05,69.45
142,60.93,69.47
143,69.22,69.18
144,70.81,68.9
145,65.92,68.86
146,69.42,68.74
147,69.82,68.81
148,68.67,68.91
149,69.48,68.81
150,69.91,68.86
151,69.64,69.15
152,69.56,69.32
153,69.35,69.4
154,69.4,68.96
155,69.03,69.29
156,68.75,69.23
157,68.81,69.26
158,69.92,69.0
159,68.15,69.09
160,76.4,69.0
161,72.03,69.11
162,71.01,69.02
163,73.21,68.95
164,70.85,68.82
165,58.36,68.94
166,71.26,68.93
167,67.85,69.18
168,66.12,69.15
169,65.87,68.99
170,69.75,69.0
