,real,pred
0,70.34,70.22
1,66.68,70.59
2,68.21,70.86
3,70.98,70.89
4,71.39,70.78
5,71.0,70.2
6,68.02,70.12
7,73.62,69.68
8,70.34,69.78
9,69.14,69.69
10,69.58,69.75
11,66.75,70.17
12,70.25,70.34
13,65.99,70.03
14,67.38,70.04
15,69.22,69.6
16,70.26,70.3
17,66.02,70.24
18,68.78,70.02
19,69.55,70.17
20,65.92,70.65
21,70.97,70.85
22,70.88,71.06
23,69.68,70.87
24,68.87,70.49
25,68.27,70.05
26,65.36,70.61
27,67.17,70.77
28,83.35,70.75
29,65.78,70.19
30,83.35,70.69
31,71.31,70.08
32,65.38,70.75
33,83.36,71.16
34,61.82,70.81
35,83.35,69.72
36,65.7,70.41
37,68.7,69.99
38,70.44,69.56
39,83.35,69.97
40,83.35,68.87
41,65.48,68.88
42,69.07,69.04
43,83.35,69.76
44,70.97,69.38
45,83.35,69.4
46,66.48,68.8
47,70.33,69.13
48,66.72,69.37
49,67.66,69.92
50,83.35,69.46
51,83.35,69.72
52,67.66,69.64
53,83.36,70.13
54,83.35,69.95
55,68.09,69.8
56,71.48,69.82
57,67.64,69.55
58,72.45,70.06
59,71.74,69.83
60,73.24,69.94
61,72.59,70.45
62,71.31,70.61
63,70.66,70.15
64,71.52,70.6
65,69.75,70.9
66,71.46,71.08
67,71.39,70.79
68,71.0,70.9
69,66.38,71.03
70,71.19,70.74
71,66.95,70.01
72,66.6,70.06
73,71.02,69.36
74,66.74,69.98
75,71.14,70.17
76,67.45,70.62
77,70.31,69.63
78,71.14,70.22
79,66.13,70.97
80,70.35,70.74
81,66.12,70.24
82,65.51,69.66
83,69.58,69.69
84,71.26,69.9
85,66.68,69.67
86,71.86,70.06
87,70.42,69.17
88,72.22,69.58
89,69.85,69.68
90,67.19,69.73
91,67.63,68.84
92,71.21,69.06
93,66.94,69.5
94,66.63,70.64
95,69.43,70.38
96,65.93,69.88
97,68.63,69.63
98,70.53,69.2
99,70.69,68.79
100,65.17,69.6
101,70.89,68.68
102,71.07,68.79
103,71.04,69.06
104,69.09,69.06
105,69.63,69.69
106,66.69,70.24
107,70.65,69.57
108,66.5,68.98
109,70.18,69.29
110,66.2,68.7
111,64.61,69.07
112,72.17,68.61
113,70.35,68.52
114,70.72,69.28
115,69.87,69.09
116,60.98,69.26
117,74.52,68.8
118,68.9,68.48
119,68.87,69.39
120,67.58,68.92
121,65.05,68.72
122,60.93,69.41
123,69.22,68.94
124,70.81,69.0
125,65.92,69.04
126,69.42,68.92
127,69.82,68.6
128,68.67,69.35
129,69.48,69.06
130,69.91,69.14
131,69.64,69.65
132,69.56,69.98
133,69.35,69.79
134,69.4,68.98
135,69.03,68.97
136,68.75,70.0
137,68.81,69.82
138,69.92,69.37
139,68.15,68.58
140,76.4,68.49
141,72.03,68.53
142,71.01,69.04
143,73.21,68.45
144,70.85,68.96
145,58.36,68.13
146,71.26,68.57
147,67.85,69.13
148,66.12,69.05
149,65.87,69.18
150,69.75,69.13
