,real,pred
0,67.5,69.91
1,69.42,70.31
2,69.54,69.39
3,66.56,69.55
4,66.44,70.54
5,74.56,70.0
6,73.74,70.51
7,72.19,70.44
8,74.42,70.14
9,73.11,70.59
10,73.3,70.28
11,73.63,70.24
12,67.15,70.23
13,68.82,70.1
14,68.56,70.28
15,71.96,69.3
16,68.18,69.54
17,72.67,70.31
18,78.76,70.45
19,68.43,70.21
20,70.34,70.0
21,66.68,70.34
22,68.21,70.57
23,70.98,69.4
24,71.39,70.35
25,71.0,69.94
26,68.02,70.4
27,73.62,70.59
28,70.34,70.33
29,69.14,70.08
30,69.58,69.93
31,66.75,69.96
32,70.25,70.21
33,65.99,69.21
34,67.38,69.99
35,69.22,69.74
36,70.26,69.71
37,66.02,69.75
38,68.78,69.62
39,69.55,70.03
40,65.92,70.15
41,70.97,69.2
42,70.88,69.51
43,69.68,69.5
44,68.87,69.32
45,68.27,69.3
46,65.36,68.69
47,67.17,68.9
48,83.35,68.94
49,65.78,68.84
50,83.35,68.79
51,71.31,68.65
52,65.38,68.75
53,83.36,68.75
54,61.82,68.46
55,83.35,68.51
56,65.7,69.15
57,68.7,68.62
58,70.44,68.81
59,83.35,68.88
60,83.35,68.68
61,65.48,68.6
62,69.07,68.83
63,83.35,68.98
64,70.97,68.42
65,83.35,68.62
66,66.48,68.99
67,70.33,68.97
68,66.72,68.96
69,67.66,68.65
70,83.35,69.12
71,83.35,68.58
72,67.66,68.56
73,83.36,68.45
74,83.35,68.79
75,68.09,68.64
76,71.48,68.46
77,67.64,68.47
78,72.45,68.47
79,71.74,68.61
80,73.24,68.54
81,72.59,68.76
82,71.31,69.28
83,70.66,69.58
84,71.52,69.87
85,69.75,69.19
86,71.46,69.42
87,71.39,69.74
88,71.0,69.61
89,66.38,69.99
90,71.19,69.02
91,66.95,69.34
92,66.6,69.61
93,71.02,69.81
94,66.74,69.45
95,71.14,69.11
96,67.45,69.89
97,70.31,69.35
98,71.14,69.38
99,66.13,68.86
100,70.35,69.38
101,66.12,69.45
102,65.51,70.12
103,69.58,69.66
104,71.26,69.23
105,66.68,69.92
106,71.86,69.95
107,70.42,69.41
108,72.22,70.0
109,69.85,70.18
110,67.19,70.16
111,67.63,70.3
112,71.21,69.58
113,66.94,69.46
114,66.63,69.13
115,69.43,69.36
116,65.93,70.04
117,68.63,69.95
118,70.53,69.48
119,70.69,68.96
120,65.17,69.26
121,70.89,69.56
122,71.07,69.24
123,71.04,69.79
124,69.09,69.63
125,69.63,70.07
126,66.69,69.48
127,70.65,69.87
128,66.5,69.88
129,70.18,69.7
130,66.2,69.28
131,64.61,69.26
132,72.17,69.09
133,70.35,68.94
134,70.72,68.7
135,69.87,69.43
136,60.98,69.06
137,74.52,68.93
138,68.9,68.92
139,68.87,68.64
140,67.58,68.61
141,65.05,68.51
142,60.93,68.64
143,69.22,68.95
144,70.81,68.9
145,65.92,68.57
146,69.42,68.76
147,69.82,69.4
148,68.67,70.19
149,69.48,69.11
150,69.91,69.57
151,69.64,69.83
152,69.56,69.75
153,69.35,69.9
154,69.4,69.76
155,69.03,70.02
156,68.75,70.56
157,68.81,69.47
158,69.92,69.22
159,68.15,68.68
160,76.4,69.5
161,72.03,68.93
162,71.01,69.24
163,73.21,68.82
164,70.85,68.57
165,58.36,68.68
166,71.26,69.01
167,67.85,67.91
168,66.12,69.21
169,65.87,68.68
170,69.75,69.04
