,real,pred
0,67.5,70.3
1,69.42,70.46
2,69.54,70.73
3,66.56,70.95
4,66.44,69.96
5,74.56,70.33
6,73.74,70.38
7,72.19,70.15
8,74.42,70.57
9,73.11,70.34
10,73.3,71.17
11,73.63,71.34
12,67.15,70.46
13,68.82,71.11
14,68.56,70.58
15,71.96,70.99
16,68.18,71.41
17,72.67,70.96
18,78.76,70.83
19,68.43,70.87
20,70.34,70.54
21,66.68,70.94
22,68.21,70.44
23,70.98,71.25
24,71.39,71.16
25,71.0,70.98
26,68.02,70.55
27,73.62,70.03
28,70.34,70.29
29,69.14,69.9
30,69.58,70.2
31,66.75,70.13
32,70.25,69.62
33,65.99,69.57
34,67.38,69.37
35,69.22,69.17
36,70.26,68.28
37,66.02,67.89
38,68.78,68.39
39,69.55,68.15
40,65.92,68.02
41,70.97,67.76
42,70.88,67.93
43,69.68,67.78
44,68.87,67.71
45,68.27,67.53
46,65.36,67.0
47,67.17,66.66
48,83.35,66.77
49,65.78,66.7
50,83.35,67.54
51,71.31,68.1
52,65.38,68.1
53,83.36,68.67
54,61.82,68.52
55,83.35,67.77
56,65.7,67.67
57,68.7,68.6
58,70.44,68.71
59,83.35,69.01
60,83.35,69.19
61,65.48,68.52
62,69.07,68.53
63,83.35,69.01
64,70.97,68.44
65,83.35,68.77
66,66.48,68.44
67,70.33,68.27
68,66.72,68.32
69,67.66,69.04
70,83.35,69.49
71,83.35,69.69
72,67.66,70.17
73,83.36,69.72
74,83.35,70.21
75,68.09,69.75
76,71.48,69.93
77,67.64,69.77
78,72.45,69.79
79,71.74,69.4
80,73.24,69.39
81,72.59,69.89
82,71.31,70.01
83,70.66,69.92
84,71.52,69.34
85,69.75,68.79
86,71.46,68.56
87,71.39,68.87
88,71.0,69.58
89,66.38,69.47
90,71.19,68.81
91,66.95,68.09
92,66.6,68.49
93,71.02,68.74
94,66.74,68.28
95,71.14,67.96
96,67.45,68.02
97,70.31,68.34
98,71.14,67.78
99,66.13,67.9
100,70.35,68.13
101,66.12,68.3
102,65.51,69.04
103,69.58,68.74
104,71.26,68.66
105,66.68,69.09
106,71.86,68.64
107,70.42,68.47
108,72.22,68.0
109,69.85,67.59
110,67.19,68.0
111,67.63,68.21
112,71.21,67.63
113,66.94,68.42
114,66.63,68.4
115,69.43,67.52
116,65.93,68.02
117,68.63,67.97
118,70.53,68.19
119,70.69,68.0
120,65.17,67.62
121,70.89,67.45
122,71.07,68.03
123,71.04,67.83
124,69.09,67.86
125,69.63,67.62
126,66.69,66.99
127,70.65,67.29
128,66.5,66.96
129,70.18,67.66
130,66.2,67.08
131,64.61,66.83
132,72.17,67.18
133,70.35,67.41
134,70.72,67.94
135,69.87,68.38
136,60.98,67.76
137,74.52,68.32
138,68.9,68.43
139,68.87,68.04
140,67.58,67.68
141,65.05,68.01
142,60.93,68.07
143,69.22,68.32
144,70.81,68.71
145,65.92,67.98
146,69.42,67.54
147,69.82,67.1
148,68.67,67.44
149,69.48,67.9
150,69.91,68.04
151,69.64,67.66
152,69.56,67.03
153,69.35,67.81
154,69.4,67.62
155,69.03,67.65
156,68.75,67.65
157,68.81,67.98
158,69.92,67.72
159,68.15,67.72
160,76.4,67.58
161,72.03,67.54
162,71.01,67.61
163,73.21,67.6
164,70.85,68.14
165,58.36,68.1
166,71.26,67.21
167,67.85,67.9
168,66.12,67.49
169,65.87,67.08
170,69.75,67.21
