,real,pred
0,67.5,70.26
1,69.42,70.56
2,69.54,70.28
3,66.56,70.21
4,66.44,70.44
5,74.56,70.01
6,73.74,69.96
7,72.19,69.99
8,74.42,69.91
9,73.11,70.19
10,73.3,70.14
11,73.63,70.28
12,67.15,70.13
13,68.82,70.27
14,68.56,69.87
15,71.96,69.75
16,68.18,69.71
17,72.67,69.86
18,78.76,70.01
19,68.43,69.78
20,70.34,69.87
21,66.68,70.07
22,68.21,70.4
23,70.98,70.23
24,71.39,70.39
25,71.0,69.5
26,68.02,69.83
27,73.62,69.33
28,70.34,69.51
29,69.14,69.53
30,69.58,69.99
31,66.75,70.09
32,70.25,70.26
33,65.99,69.75
34,67.38,70.07
35,69.22,70.1
36,70.26,70.07
37,66.02,69.71
38,68.78,69.92
39,69.55,69.2
40,65.92,69.66
41,70.97,69.84
42,70.88,70.24
43,69.68,70.4
44,68.87,70.69
45,68.27,70.4
46,65.36,69.84
47,67.17,69.85
48,83.35,69.75
49,65.78,69.58
50,83.35,69.74
51,71.31,70.46
52,65.38,70.35
53,83.36,70.41
54,61.82,70.04
55,83.35,70.04
56,65.7,69.67
57,68.7,69.79
58,70.44,70.21
59,83.35,70.28
60,83.35,70.39
61,65.48,70.29
62,69.07,70.75
63,83.35,70.41
64,70.97,70.56
65,83.35,70.26
66,66.48,70.29
67,70.33,70.36
68,66.72,70.35
69,67.66,70.19
70,83.35,70.03
71,83.35,70.16
72,67.66,70.52
73,83.36,70.57
74,83.35,70.32
75,68.09,70.42
76,71.48,70.59
77,67.64,70.76
78,72.45,70.97
79,71.74,70.36
80,73.24,70.09
81,72.59,70.49
82,71.31,70.36
83,70.66,70.41
84,71.52,70.42
85,69.75,70.48
86,71.46,70.54
87,71.39,70.54
88,71.0,70.05
89,66.38,70.15
90,71.19,70.36
91,66.95,69.95
92,66.6,70.28
93,71.02,69.91
94,66.74,70.14
95,71.14,70.04
96,67.45,70.34
97,70.31,69.9
98,71.14,70.3
99,66.13,69.75
100,70.35,69.75
101,66.12,69.67
102,65.51,69.79
103,69.58,69.57
104,71.26,70.02
105,66.68,69.98
106,71.86,69.91
107,70.42,69.56
108,72.22,69.57
109,69.85,69.8
110,67.19,69.57
111,67.63,69.63
112,71.21,69.68
113,66.94,69.97
114,66.63,69.92
115,69.43,69.79
116,65.93,69.01
117,68.63,69.13
118,70.53,69.48
119,70.69,69.45
120,65.17,69.52
121,70.89,69.78
122,71.07,70.03
123,71.04,70.46
124,69.09,69.73
125,69.63,69.94
126,66.69,69.83
127,70.65,69.64
128,66.5,69.38
129,70.18,69.35
130,66.2,69.57
131,64.61,69.83
132,72.17,69.71
133,70.35,70.21
134,70.72,69.94
135,69.87,70.22
136,60.98,69.58
137,74.52,69.87
138,68.9,69.47
139,68.87,69.55
140,67.58,69.65
141,65.05,69.65
142,60.93,69.38
143,69.22,69.79
144,70.81,69.45
145,65.92,69.62
146,69.42,69.39
147,69.82,69.0
148,68.67,69.96
149,69.48,69.61
150,69.91,69.89
151,69.64,69.56
152,69.56,69.36
153,69.35,69.72
154,69.4,69.56
155,69.03,69.15
156,68.75,69.7
157,68.81,69.17
158,69.92,69.73
159,68.15,70.1
160,76.4,69.75
161,72.03,70.19
162,71.01,70.41
163,73.21,69.91
164,70.85,70.25
165,58.36,69.4
166,71.26,69.54
167,67.85,69.65
168,66.12,69.64
169,65.87,69.74
170,69.75,69.62
