,real,pred
0,67.5,69.8
1,69.42,69.74
2,69.54,69.51
3,66.56,69.68
4,66.44,70.27
5,74.56,69.63
6,73.74,69.54
7,72.19,69.74
8,74.42,69.97
9,73.11,69.79
10,73.3,69.28
11,73.63,69.59
12,67.15,69.19
13,68.82,69.54
14,68.56,70.39
15,71.96,70.43
16,68.18,69.72
17,72.67,69.91
18,78.76,70.49
19,68.43,69.1
20,70.34,69.17
21,66.68,69.15
22,68.21,69.72
23,70.98,69.17
24,71.39,69.57
25,71.0,69.52
26,68.02,69.92
27,73.62,69.89
28,70.34,69.63
29,69.14,69.26
30,69.58,69.15
31,66.75,70.09
32,70.25,69.56
33,65.99,69.28
34,67.38,69.51
35,69.22,70.26
36,70.26,70.3
37,66.02,69.35
38,68.78,69.66
39,69.55,69.67
40,65.92,69.41
41,70.97,69.64
42,70.88,69.88
43,69.68,70.23
44,68.87,70.17
45,68.27,70.16
46,65.36,68.87
47,67.17,69.46
48,83.35,69.05
49,65.78,69.55
50,83.35,69.08
51,71.31,68.88
52,65.38,68.57
53,83.36,69.45
54,61.82,68.84
55,83.35,68.85
56,65.7,69.14
57,68.7,68.47
58,70.44,69.01
59,83.35,68.98
60,83.35,69.21
61,65.48,68.7
62,69.07,68.61
63,83.35,68.87
64,70.97,68.82
65,83.35,68.78
66,66.48,69.24
67,70.33,69.45
68,66.72,68.72
69,67.66,68.62
70,83.35,68.62
71,83.35,68.95
72,67.66,68.43
73,83.36,68.63
74,83.35,68.4
75,68.09,68.52
76,71.48,68.66
77,67.64,68.35
78,72.45,68.46
79,71.74,68.86
80,73.24,68.99
81,72.59,68.68
82,71.31,68.69
83,70.66,68.34
84,71.52,68.68
85,69.75,69.18
86,71.46,69.09
87,71.39,69.39
88,71.0,69.65
89,66.38,69.4
90,71.19,69.48
91,66.95,69.45
92,66.6,69.38
93,71.02,68.85
94,66.74,68.8
95,71.14,69.66
96,67.45,69.97
97,70.31,69.62
98,71.14,69.64
99,66.13,69.84
100,70.35,70.51
101,66.12,69.68
102,65.51,69.89
103,69.58,69.23
104,71.26,69.53
105,66.68,69.41
106,71.86,70.35
107,70.42,69.69
108,72.22,69.08
109,69.85,69.24
110,67.19,70.05
111,67.63,70.03
112,71.21,70.55
113,66.94,70.34
114,66.63,70.45
115,69.43,70.08
116,65.93,70.46
117,68.63,70.13
118,70.53,69.17
119,70.69,69.02
120,65.17,69.28
121,70.89,69.92
122,71.07,69.39
123,71.04,69.59
124,69.09,70.43
125,69.63,70.34
126,66.69,69.91
127,70.65,69.69
128,66.5,69.14
129,70.18,68.96
130,66.2,69.75
131,64.61,70.05
132,72.17,68.64
133,70.35,68.94
134,70.72,69.44
135,69.87,69.8
136,60.98,70.17
137,74.52,69.45
138,68.9,70.01
139,68.87,70.63
140,67.58,70.78
141,65.05,70.67
142,60.93,69.71
143,69.22,69.37
144,70.81,70.35
145,65.92,70.15
146,69.42,69.45
147,69.82,69.22
148,68.67,68.91
149,69.48,68.78
150,69.91,69.32
151,69.64,68.89
152,69.56,69.81
153,69.35,69.33
154,69.4,69.76
155,69.03,70.24
156,68.75,70.43
157,68.81,69.18
158,69.92,70.63
159,68.15,69.27
160,76.4,68.96
161,72.03,68.96
162,71.01,69.73
163,73.21,69.71
164,70.85,70.02
165,58.36,69.49
166,71.26,69.41
167,67.85,70.33
168,66.12,69.56
169,65.87,70.08
170,69.75,70.12
