,real,pred
0,71.1,69.83
1,69.71,69.2
2,69.23,69.43
3,67.09,69.66
4,71.03,69.35
5,68.71,69.2
6,70.72,69.73
7,70.16,69.38
8,71.55,69.19
9,70.2,69.31
10,68.51,69.6
11,70.65,69.72
12,70.37,69.68
13,70.93,69.59
14,70.58,69.39
15,70.41,69.56
16,70.43,69.28
17,68.91,69.4
18,69.1,68.78
19,68.12,69.6
20,67.5,69.29
21,69.42,69.67
22,69.54,69.56
23,66.56,69.59
24,66.44,69.54
25,74.56,69.37
26,73.74,69.6
27,72.19,69.32
28,74.42,70.18
29,73.11,70.37
30,73.3,69.82
31,73.63,70.14
32,67.15,70.19
33,68.82,69.87
34,68.56,69.93
35,71.96,69.83
36,68.18,69.5
37,72.67,69.84
38,78.76,69.94
39,68.43,69.9
40,70.34,69.97
41,66.68,69.93
42,68.21,70.14
43,70.98,69.97
44,71.39,69.67
45,71.0,69.47
46,68.02,70.22
47,73.62,69.94
48,70.34,70.1
49,69.14,69.61
50,69.58,69.41
51,66.75,69.75
52,70.25,68.87
53,65.99,68.78
54,67.38,68.78
55,69.22,68.73
56,70.26,68.73
57,66.02,68.64
58,68.78,68.55
59,69.55,69.02
60,65.92,68.51
61,70.97,68.86
62,70.88,68.64
63,69.68,68.67
64,68.87,68.5
65,68.27,68.64
66,65.36,68.6
67,67.17,68.57
68,83.35,68.58
69,65.78,68.77
70,83.35,68.76
71,71.31,68.13
72,65.38,68.47
73,83.36,68.87
74,61.82,68.46
75,83.35,68.61
76,65.7,68.66
77,68.7,68.82
78,70.44,68.49
79,83.35,67.89
80,83.35,68.15
81,65.48,68.35
82,69.07,68.51
83,83.35,68.43
84,70.97,68.45
85,83.35,68.28
86,66.48,68.3
87,70.33,68.42
88,66.72,67.75
89,67.66,67.73
90,83.35,67.48
91,83.35,67.68
92,67.66,68.26
93,83.36,68.41
94,83.35,68.84
95,68.09,68.54
96,71.48,68.87
97,67.64,68.91
98,72.45,68.33
99,71.74,68.14
100,73.24,68.29
101,72.59,68.87
102,71.31,68.73
103,70.66,68.97
104,71.52,69.38
105,69.75,69.57
106,71.46,69.68
107,71.39,70.29
108,71.0,69.87
109,66.38,69.98
110,71.19,69.47
111,66.95,69.36
112,66.6,69.72
113,71.02,69.11
114,66.74,69.17
115,71.14,70.09
116,67.45,69.27
117,70.31,69.53
118,71.14,69.52
119,66.13,69.2
120,70.35,69.24
121,66.12,69.22
122,65.51,69.32
123,69.58,69.2
124,71.26,68.8
125,66.68,68.65
126,71.86,68.89
127,70.42,68.75
128,72.22,68.3
129,69.85,68.86
130,67.19,68.9
131,67.63,68.92
132,71.21,69.0
133,66.94,68.7
134,66.63,69.32
135,69.43,69.23
136,65.93,68.79
137,68.63,68.96
138,70.53,68.39
139,70.69,68.51
140,65.17,68.68
141,70.89,68.4
142,71.07,68.83
143,71.04,69.26
144,69.09,69.09
145,69.63,69.03
146,66.69,68.97
147,70.65,68.97
148,66.5,68.75
149,70.18,68.42
150,66.2,68.16
151,64.61,68.48
152,72.17,67.93
153,70.35,67.99
154,70.72,68.46
155,69.87,68.43
156,60.98,68.48
157,74.52,68.58
158,68.9,69.02
159,68.87,68.84
160,67.58,68.83
161,65.05,68.84
162,60.93,68.22
163,69.22,68.15
164,70.81,68.4
165,65.92,68.77
166,69.42,68.47
167,69.82,68.44
168,68.67,68.48
169,69.48,68.3
170,69.91,68.2
171,69.64,68.57
172,69.56,68.58
173,69.35,68.75
174,69.4,68.63
175,69.03,68.56
176,68.75,68.64
177,68.81,68.52
178,69.92,68.9
179,68.15,68.56
180,76.4,68.68
181,72.03,68.87
182,71.01,68.79
183,73.21,68.94
184,70.85,68.91
185,58.36,68.88
186,71.26,69.04
187,67.85,68.62
188,66.12,68.94
189,65.87,68.73
190,69.75,68.67
