,real,pred
0,67.5,71.23
1,69.42,71.4
2,69.54,71.04
3,66.56,71.1
4,66.44,71.58
5,74.56,71.15
6,73.74,71.38
7,72.19,71.29
8,74.42,71.49
9,73.11,70.84
10,73.3,71.09
11,73.63,71.15
12,67.15,71.34
13,68.82,71.15
14,68.56,71.02
15,71.96,70.76
16,68.18,71.09
17,72.67,70.81
18,78.76,70.73
19,68.43,70.98
20,70.34,70.37
21,66.68,70.65
22,68.21,70.61
23,70.98,70.3
24,71.39,70.77
25,71.0,70.36
26,68.02,70.45
27,73.62,70.0
28,70.34,69.65
29,69.14,69.79
30,69.58,69.38
31,66.75,69.41
32,70.25,69.69
33,65.99,69.29
34,67.38,69.29
35,69.22,69.3
36,70.26,69.25
37,66.02,69.26
38,68.78,68.97
39,69.55,68.6
40,65.92,68.79
41,70.97,69.25
42,70.88,69.12
43,69.68,69.04
44,68.87,68.93
45,68.27,69.14
46,65.36,68.85
47,67.17,68.7
48,83.35,68.42
49,65.78,67.99
50,83.35,68.59
51,71.31,68.6
52,65.38,69.11
53,83.36,69.13
54,61.82,68.67
55,83.35,68.57
56,65.7,68.81
57,68.7,68.97
58,70.44,68.82
59,83.35,68.55
60,83.35,69.0
61,65.48,69.26
62,69.07,65.98
63,83.35,67.45
64,70.97,68.35
65,83.35,68.7
66,66.48,68.71
67,70.33,68.85
68,66.72,68.99
69,67.66,69.09
70,83.35,69.1
71,83.35,68.9
72,67.66,68.69
73,83.36,68.67
74,83.35,68.75
75,68.09,68.96
76,71.48,69.03
77,67.64,69.08
78,72.45,69.22
79,71.74,69.44
80,73.24,67.0
81,72.59,65.83
82,71.31,69.12
83,70.66,68.58
84,71.52,68.72
85,69.75,68.51
86,71.46,68.82
87,71.39,69.21
88,71.0,69.15
89,66.38,69.33
90,71.19,69.33
91,66.95,69.3
92,66.6,69.26
93,71.02,68.98
94,66.74,69.06
95,71.14,69.02
96,67.45,68.89
97,70.31,68.76
98,71.14,69.49
99,66.13,69.33
100,70.35,69.12
101,66.12,69.16
102,65.51,69.31
103,69.58,68.71
104,71.26,68.93
105,66.68,68.95
106,71.86,68.85
107,70.42,68.73
108,72.22,68.76
109,69.85,68.69
110,67.19,69.15
111,67.63,68.78
112,71.21,68.71
113,66.94,68.72
114,66.63,69.0
115,69.43,69.16
116,65.93,68.93
117,68.63,68.98
118,70.53,68.84
119,70.69,68.77
120,65.17,68.83
121,70.89,68.89
122,71.07,69.13
123,71.04,68.83
124,69.09,68.63
125,69.63,69.41
126,66.69,69.54
127,70.65,68.88
128,66.5,69.06
129,70.18,68.86
130,66.2,69.44
131,64.61,69.08
132,72.17,69.04
133,70.35,69.08
134,70.72,69.15
135,69.87,69.26
136,60.98,69.44
137,74.52,69.48
138,68.9,69.32
139,68.87,69.69
140,67.58,69.79
141,65.05,69.58
142,60.93,69.41
143,69.22,68.97
144,70.81,68.64
145,65.92,68.73
146,69.42,68.99
147,69.82,69.1
148,68.67,69.11
149,69.48,68.92
150,69.91,69.18
151,69.64,69.38
152,69.56,69.51
153,69.35,69.09
154,69.4,68.95
155,69.03,69.37
156,68.75,69.28
157,68.81,68.87
158,69.92,66.23
159,68.15,68.85
160,76.4,68.93
161,72.03,69.13
162,71.01,69.02
163,73.21,69.09
164,70.85,68.99
165,58.36,66.98
166,71.26,69.53
167,67.85,69.15
168,66.12,66.54
169,65.87,68.95
170,69.75,68.88
