,real,pred
0,70.34,69.05
1,66.68,68.9
2,68.21,69.07
3,70.98,70.34
4,71.39,69.46
5,71.0,69.54
6,68.02,69.19
7,73.62,68.92
8,70.34,69.21
9,69.14,68.89
10,69.58,69.99
11,66.75,70.5
12,70.25,69.76
13,65.99,69.63
14,67.38,70.34
15,69.22,71.09
16,70.26,70.46
17,66.02,69.15
18,68.78,69.62
19,69.55,69.2
20,65.92,69.36
21,70.97,69.79
22,70.88,69.68
23,69.68,71.17
24,68.87,70.2
25,68.27,70.9
26,65.36,70.05
27,67.17,69.84
28,83.35,69.65
29,65.78,69.42
30,83.35,70.11
31,71.31,69.77
32,65.38,69.27
33,83.36,70.05
34,61.82,69.06
35,83.35,68.87
36,65.7,68.34
37,68.7,68.21
38,70.44,68.47
39,83.35,68.36
40,83.35,68.19
41,65.48,68.18
42,69.07,68.2
43,83.35,68.09
44,70.97,68.09
45,83.35,68.09
46,66.48,68.09
47,70.33,68.09
48,66.72,68.09
49,67.66,68.09
50,83.35,68.16
51,83.35,68.09
52,67.66,68.28
53,83.36,68.34
54,83.35,68.37
55,68.09,68.37
56,71.48,68.31
57,67.64,68.28
58,72.45,68.09
59,71.74,68.33
60,73.24,68.58
61,72.59,68.51
62,71.31,68.18
63,70.66,68.31
64,71.52,68.64
65,69.75,68.47
66,71.46,68.53
67,71.39,68.29
68,71.0,68.54
69,66.38,68.49
70,71.19,68.45
71,66.95,69.74
72,66.6,68.65
73,71.02,68.51
74,66.74,68.55
75,71.14,68.81
76,67.45,69.2
77,70.31,69.36
78,71.14,69.07
79,66.13,69.26
80,70.35,70.17
81,66.12,69.97
82,65.51,69.01
83,69.58,69.09
84,71.26,69.0
85,66.68,69.57
86,71.86,68.95
87,70.42,68.4
88,72.22,68.5
89,69.85,70.1
90,67.19,70.27
91,67.63,69.07
92,71.21,68.76
93,66.94,69.28
94,66.63,72.28
95,69.43,71.71
96,65.93,69.22
97,68.63,68.9
98,70.53,68.85
99,70.69,69.13
100,65.17,69.14
101,70.89,68.63
102,71.07,71.66
103,71.04,72.74
104,69.09,70.18
105,69.63,69.83
106,66.69,69.32
107,70.65,69.0
108,66.5,68.91
109,70.18,68.87
110,66.2,69.64
111,64.61,69.14
112,72.17,68.68
113,70.35,68.09
114,70.72,68.09
115,69.87,68.22
116,60.98,68.76
117,74.52,69.85
118,68.9,70.63
119,68.87,73.89
120,67.58,75.06
121,65.05,72.76
122,60.93,70.94
123,69.22,69.76
124,70.81,70.1
125,65.92,68.29
126,69.42,68.19
127,69.82,69.09
128,68.67,68.43
129,69.48,70.06
130,69.91,69.86
131,69.64,70.95
132,69.56,69.21
133,69.35,68.91
134,69.4,68.46
135,69.03,70.75
136,68.75,68.56
137,68.81,68.82
138,69.92,68.09
139,68.15,68.1
140,76.4,68.26
141,72.03,68.7
142,71.01,68.27
143,73.21,69.31
144,70.85,70.39
145,58.36,69.95
146,71.26,68.87
147,67.85,68.9
148,66.12,68.25
149,65.87,68.88
150,69.75,69.3
