,real,pred
0,70.37,69.68
1,70.93,69.5
2,70.58,69.83
3,70.41,69.79
4,70.43,69.83
5,68.91,69.93
6,69.1,69.61
7,68.12,69.77
8,67.5,70.21
9,69.42,69.91
10,69.54,70.12
11,66.56,69.58
12,66.44,69.7
13,74.56,69.61
14,73.74,70.01
15,72.19,70.18
16,74.42,69.88
17,73.11,70.08
18,73.3,69.95
19,73.63,69.66
20,67.15,69.68
21,68.82,70.08
22,68.56,70.24
23,71.96,69.81
24,68.18,70.1
25,72.67,69.91
26,68.43,69.74
27,70.34,69.65
28,66.68,70.0
29,68.21,69.76
30,70.98,70.1
31,71.39,69.93
32,71.0,69.42
33,68.02,69.19
34,73.62,69.2
35,70.34,69.27
36,69.14,69.64
37,69.58,69.8
38,66.75,69.01
39,70.25,68.45
40,65.99,68.6
41,67.38,69.66
42,69.22,69.48
43,70.26,69.37
44,66.02,69.31
45,68.78,69.5
46,69.55,69.59
47,65.92,69.47
48,70.97,69.49
49,70.88,68.96
50,69.68,69.16
51,68.87,69.3
52,68.27,69.1
53,65.36,68.51
54,67.17,68.54
55,65.78,68.91
56,71.31,69.11
57,65.38,68.77
58,65.7,68.61
59,68.7,69.19
60,70.44,68.62
61,65.48,68.44
62,69.07,68.9
63,70.97,68.77
64,66.48,68.35
65,70.33,68.22
66,66.72,68.74
67,67.66,68.97
68,67.66,69.02
69,68.09,69.12
70,71.48,68.94
71,67.64,68.42
72,72.45,68.65
73,71.74,68.44
74,73.24,69.04
75,72.59,68.88
76,71.31,68.56
77,70.66,68.69
78,71.52,68.77
79,69.75,68.61
80,71.46,68.82
81,71.39,69.09
82,71.0,68.95
83,66.38,68.67
84,71.19,68.79
85,66.95,68.97
86,66.6,68.85
87,71.02,68.93
88,66.74,68.5
89,71.14,68.66
90,67.45,68.55
91,70.31,68.79
92,71.14,69.13
93,66.13,69.24
94,70.35,69.46
95,66.12,69.28
96,65.51,69.32
97,69.58,68.9
98,71.26,68.56
99,66.68,68.78
100,71.86,68.81
101,70.42,68.57
102,72.22,68.49
103,69.85,68.78
104,67.19,69.03
105,67.63,69.12
106,71.21,69.36
107,66.94,69.56
108,66.63,69.54
109,69.43,69.49
110,65.93,69.47
111,68.63,69.18
112,70.53,68.75
113,70.69,68.96
114,65.17,68.99
115,70.89,68.62
116,71.07,68.82
117,71.04,69.06
118,69.09,68.93
119,69.63,68.91
120,66.69,69.26
121,70.65,69.29
122,66.5,69.38
123,70.18,68.78
124,66.2,68.8
125,64.61,68.59
126,72.17,68.37
127,70.35,68.68
128,70.72,68.34
129,69.87,68.74
130,74.52,68.75
131,68.9,69.41
132,68.87,69.26
133,67.58,68.88
134,65.05,69.37
135,69.22,69.35
136,70.81,68.87
137,65.92,68.62
138,69.42,68.35
139,69.82,68.27
140,68.67,69.29
141,69.48,69.47
142,69.91,69.27
143,69.64,68.54
144,69.56,68.3
145,69.35,68.68
146,69.4,68.44
147,69.03,68.87
148,68.75,68.41
149,68.81,68.71
150,69.92,68.98
151,68.15,68.48
152,72.03,67.99
153,71.01,68.62
154,70.85,68.97
155,71.26,68.62
156,67.85,68.85
157,66.12,68.43
158,65.87,68.51
159,69.75,68.47
