,real,pred
0,69.23,69.76
1,67.09,70.08
2,71.03,70.19
3,68.71,70.26
4,70.72,70.18
5,70.16,69.83
6,71.55,69.89
7,70.2,70.25
8,68.51,70.39
9,70.65,70.05
10,70.37,69.45
11,70.93,69.68
12,70.58,69.89
13,70.41,69.98
14,70.43,70.11
15,68.91,70.24
16,69.1,70.68
17,68.12,70.45
18,67.5,70.23
19,69.42,70.08
20,69.54,69.82
21,66.56,69.97
22,66.44,69.8
23,74.56,69.02
24,73.74,69.49
25,72.19,70.21
26,74.42,70.5
27,73.11,70.55
28,73.3,69.95
29,73.63,69.64
30,67.15,69.36
31,68.82,69.17
32,68.56,69.11
33,71.96,69.43
34,68.18,69.54
35,72.67,69.44
36,68.43,69.61
37,70.34,69.51
38,66.68,69.47
39,68.21,69.36
40,70.98,69.5
41,71.39,69.22
42,71.0,69.01
43,68.02,69.07
44,73.62,69.55
45,70.34,69.65
46,69.14,69.34
47,69.58,69.49
48,66.75,69.48
49,70.25,69.43
50,65.99,69.6
51,67.38,69.64
52,69.22,69.56
53,70.26,69.45
54,66.02,69.67
55,68.78,69.6
56,69.55,69.32
57,65.92,69.24
58,70.97,69.16
59,70.88,69.03
60,69.68,69.27
61,68.87,69.33
62,68.27,69.38
63,65.36,69.46
64,67.17,69.33
65,65.78,69.22
66,71.31,69.15
67,65.38,68.76
68,65.7,68.89
69,68.7,69.02
70,70.44,68.95
71,65.48,69.49
72,69.07,69.5
73,70.97,69.84
74,66.48,69.72
75,70.33,69.3
76,66.72,69.47
77,67.66,69.58
78,67.66,69.59
79,68.09,69.06
80,71.48,69.17
81,67.64,69.15
82,72.45,69.42
83,71.74,69.57
84,73.24,69.42
85,72.59,69.55
86,71.31,69.78
87,70.66,69.36
88,71.52,69.94
89,69.75,70.04
90,71.46,69.6
91,71.39,69.67
92,71.0,68.98
93,66.38,69.38
94,71.19,69.38
95,66.95,69.39
96,66.6,69.37
97,71.02,69.49
98,66.74,69.13
99,71.14,69.64
100,67.45,69.75
101,70.31,69.71
102,71.14,69.71
103,66.13,69.5
104,70.35,69.47
105,66.12,69.34
106,65.51,69.33
107,69.58,69.27
108,71.26,69.35
109,66.68,69.14
110,71.86,69.53
111,70.42,69.08
112,72.22,69.12
113,69.85,69.59
114,67.19,69.4
115,67.63,69.36
116,71.21,69.49
117,66.94,69.39
118,66.63,69.46
119,69.43,69.82
120,65.93,69.52
121,68.63,69.48
122,70.53,69.36
123,70.69,69.55
124,65.17,69.63
125,70.89,69.45
126,71.07,68.81
127,71.04,68.92
128,69.09,69.31
129,69.63,69.55
130,66.69,69.52
131,70.65,69.26
132,66.5,69.21
133,70.18,69.13
134,66.2,68.89
135,64.61,68.89
136,72.17,69.15
137,70.35,68.99
138,70.72,69.2
139,69.87,69.17
140,74.52,68.97
141,68.9,68.76
142,68.87,68.68
143,67.58,69.06
144,65.05,69.03
145,69.22,69.19
146,70.81,69.04
147,65.92,68.82
148,69.42,68.88
149,69.82,69.13
150,68.67,68.89
151,69.48,68.99
152,69.91,69.02
153,69.64,68.98
154,69.56,69.08
155,69.35,69.27
156,69.4,68.9
157,69.03,68.82
158,68.75,69.25
159,68.81,69.22
160,69.92,68.92
161,68.15,68.88
162,72.03,68.49
163,71.01,68.88
164,70.85,69.07
165,71.26,68.91
166,67.85,68.94
167,66.12,68.59
168,65.87,68.9
169,69.75,68.78
