,real,pred
0,70.37,70.12
1,70.93,69.81
2,70.58,69.73
3,70.41,69.98
4,70.43,70.07
5,68.91,69.55
6,69.1,69.66
7,68.12,70.31
8,67.5,70.82
9,69.42,70.75
10,69.54,69.72
11,66.56,69.41
12,66.44,69.59
13,74.56,69.75
14,73.74,70.62
15,72.19,71.62
16,74.42,71.02
17,73.11,69.8
18,73.3,69.58
19,73.63,69.81
20,67.15,69.72
21,68.82,69.42
22,68.56,69.33
23,71.96,68.73
24,68.18,69.22
25,72.67,69.48
26,68.43,69.65
27,70.34,69.75
28,66.68,70.42
29,68.21,70.58
30,70.98,70.67
31,71.39,70.34
32,71.0,69.87
33,68.02,70.39
34,73.62,70.53
35,70.34,70.49
36,69.14,69.9
37,69.58,70.54
38,66.75,70.44
39,70.25,70.06
40,65.99,69.74
41,67.38,69.51
42,69.22,69.11
43,70.26,68.93
44,66.02,68.94
45,68.78,69.1
46,69.55,69.41
47,65.92,68.83
48,70.97,68.09
49,70.88,68.26
50,69.68,68.51
51,68.87,68.77
52,68.27,69.12
53,65.36,69.06
54,67.17,68.29
55,65.78,68.25
56,71.31,68.51
57,65.38,68.61
58,65.7,68.39
59,68.7,68.53
60,70.44,67.97
61,65.48,68.4
62,69.07,68.66
63,70.97,69.02
64,66.48,68.57
65,70.33,68.53
66,66.72,68.98
67,67.66,69.64
68,67.66,69.64
69,68.09,69.33
70,71.48,69.22
71,67.64,69.81
72,72.45,69.94
73,71.74,69.57
74,73.24,69.46
75,72.59,69.87
76,71.31,70.0
77,70.66,69.8
78,71.52,69.6
79,69.75,69.87
80,71.46,69.31
81,71.39,69.03
82,71.0,69.17
83,66.38,69.32
84,71.19,69.66
85,66.95,69.68
86,66.6,69.35
87,71.02,69.84
88,66.74,69.43
89,71.14,69.64
90,67.45,69.31
91,70.31,69.74
92,71.14,70.01
93,66.13,69.88
94,70.35,69.8
95,66.12,69.75
96,65.51,70.27
97,69.58,70.05
98,71.26,69.46
99,66.68,69.57
100,71.86,70.2
101,70.42,70.06
102,72.22,70.11
103,69.85,69.56
104,67.19,69.33
105,67.63,69.5
106,71.21,69.77
107,66.94,69.28
108,66.63,68.84
109,69.43,68.82
110,65.93,69.39
111,68.63,69.44
112,70.53,69.52
113,70.69,69.34
114,65.17,69.48
115,70.89,69.05
116,71.07,69.16
117,71.04,69.54
118,69.09,69.3
119,69.63,69.49
120,66.69,69.55
121,70.65,69.65
122,66.5,69.96
123,70.18,69.96
124,66.2,69.49
125,64.61,69.74
126,72.17,69.91
127,70.35,69.86
128,70.72,69.25
129,69.87,69.29
130,74.52,69.33
131,68.9,69.39
132,68.87,68.81
133,67.58,69.52
134,65.05,69.71
135,69.22,69.2
136,70.81,68.46
137,65.92,68.5
138,69.42,68.85
139,69.82,69.09
140,68.67,69.4
141,69.48,69.49
142,69.91,69.11
143,69.64,68.91
144,69.56,69.05
145,69.35,68.48
146,69.4,68.85
147,69.03,69.09
148,68.75,69.07
149,68.81,69.09
150,69.92,69.24
151,68.15,69.1
152,72.03,69.05
153,71.01,69.14
154,70.85,69.33
155,71.26,69.1
156,67.85,69.15
157,66.12,68.63
158,65.87,68.6
159,69.75,68.31
