,real,pred
0,69.23,68.91
1,67.09,69.25
2,71.03,69.13
3,68.71,69.48
4,70.72,69.86
5,70.16,70.43
6,71.55,70.31
7,70.2,70.46
8,68.51,69.68
9,70.65,69.51
10,70.37,69.71
11,70.93,69.69
12,70.58,69.69
13,70.41,69.72
14,70.43,69.82
15,68.91,70.37
16,69.1,70.46
17,68.12,70.71
18,67.5,70.74
19,69.42,70.81
20,69.54,70.41
21,66.56,70.3
22,66.44,70.18
23,74.56,70.17
24,73.74,70.69
25,72.19,70.75
26,74.42,69.97
27,73.11,70.49
28,73.3,69.93
29,73.63,69.94
30,67.15,69.74
31,68.82,69.6
32,68.56,69.43
33,71.96,69.36
34,68.18,69.54
35,72.67,69.29
36,68.43,69.25
37,70.34,69.31
38,66.68,70.08
39,68.21,70.0
40,70.98,70.2
41,71.39,69.46
42,71.0,69.48
43,68.02,70.14
44,73.62,70.49
45,70.34,69.61
46,69.14,69.39
47,69.58,69.3
48,66.75,69.89
49,70.25,69.95
50,65.99,69.55
51,67.38,69.46
52,69.22,69.36
53,70.26,69.16
54,66.02,69.38
55,68.78,69.33
56,69.55,68.68
57,65.92,68.75
58,70.97,68.87
59,70.88,67.84
60,69.68,67.51
61,68.87,67.99
62,68.27,68.01
63,65.36,68.01
64,67.17,68.21
65,65.78,68.42
66,71.31,68.37
67,65.38,68.27
68,65.7,68.56
69,68.7,68.75
70,70.44,68.61
71,65.48,68.64
72,69.07,68.97
73,70.97,68.7
74,66.48,68.73
75,70.33,68.71
76,66.72,68.85
77,67.66,68.73
78,67.66,69.31
79,68.09,68.74
80,71.48,69.36
81,67.64,69.71
82,72.45,70.39
83,71.74,70.61
84,73.24,70.02
85,72.59,69.52
86,71.31,70.17
87,70.66,70.03
88,71.52,70.07
89,69.75,70.09
90,71.46,69.82
91,71.39,69.95
92,71.0,69.6
93,66.38,69.56
94,71.19,69.19
95,66.95,69.32
96,66.6,68.97
97,71.02,69.22
98,66.74,69.02
99,71.14,69.25
100,67.45,69.31
101,70.31,69.18
102,71.14,69.06
103,66.13,69.2
104,70.35,69.06
105,66.12,69.19
106,65.51,69.36
107,69.58,69.26
108,71.26,69.09
109,66.68,69.01
110,71.86,68.67
111,70.42,68.56
112,72.22,68.93
113,69.85,69.14
114,67.19,69.26
115,67.63,68.93
116,71.21,69.12
117,66.94,69.13
118,66.63,69.48
119,69.43,69.11
120,65.93,69.0
121,68.63,68.98
122,70.53,69.07
123,70.69,69.22
124,65.17,68.7
125,70.89,68.78
126,71.07,68.63
127,71.04,69.05
128,69.09,69.45
129,69.63,69.62
130,66.69,69.56
131,70.65,69.48
132,66.5,69.82
133,70.18,69.47
134,66.2,68.75
135,64.61,68.58
136,72.17,68.56
137,70.35,69.27
138,70.72,69.46
139,69.87,69.76
140,74.52,68.7
141,68.9,69.14
142,68.87,69.01
143,67.58,69.35
144,65.05,69.57
145,69.22,69.43
146,70.81,69.03
147,65.92,69.37
148,69.42,69.52
149,69.82,70.07
150,68.67,69.39
151,69.48,69.98
152,69.91,69.26
153,69.64,69.36
154,69.56,69.27
155,69.35,69.23
156,69.4,69.58
157,69.03,69.48
158,68.75,69.65
159,68.81,69.79
160,69.92,68.99
161,68.15,69.36
162,72.03,69.56
163,71.01,69.8
164,70.85,69.59
165,71.26,69.35
166,67.85,69.87
167,66.12,69.45
168,65.87,69.59
169,69.75,68.93
