,real,pred
0,69.23,69.68
1,67.09,69.63
2,71.03,69.78
3,68.71,69.78
4,70.72,69.85
5,70.16,69.55
6,71.55,69.72
7,70.2,69.79
8,68.51,69.77
9,70.65,69.71
10,70.37,69.58
11,70.93,69.64
12,70.58,69.76
13,70.41,70.12
14,70.43,70.07
15,68.91,70.18
16,69.1,70.16
17,68.12,70.19
18,67.5,70.37
19,69.42,70.06
20,69.54,70.2
21,66.56,70.02
22,66.44,69.91
23,74.56,69.81
24,73.74,69.99
25,72.19,70.44
26,74.42,70.54
27,73.11,70.64
28,73.3,70.82
29,73.63,70.65
30,67.15,70.17
31,68.82,69.96
32,68.56,69.87
33,71.96,70.36
34,68.18,70.19
35,72.67,70.59
36,68.43,70.49
37,70.34,70.55
38,66.68,70.38
39,68.21,70.67
40,70.98,70.55
41,71.39,70.38
42,71.0,70.05
43,68.02,69.99
44,73.62,70.56
45,70.34,70.71
46,69.14,70.47
47,69.58,70.59
48,66.75,70.6
49,70.25,70.54
50,65.99,70.05
51,67.38,69.62
52,69.22,69.47
53,70.26,69.54
54,66.02,69.85
55,68.78,69.71
56,69.55,69.74
57,65.92,69.53
58,70.97,69.49
59,70.88,69.04
60,69.68,68.98
61,68.87,68.76
62,68.27,68.96
63,65.36,68.9
64,67.17,69.19
65,65.78,69.19
66,71.31,69.26
67,65.38,68.82
68,65.7,69.04
69,68.7,68.98
70,70.44,68.75
71,65.48,68.74
72,69.07,69.25
73,70.97,69.37
74,66.48,69.06
75,70.33,69.29
76,66.72,69.31
77,67.66,69.25
78,67.66,69.32
79,68.09,69.44
80,71.48,69.41
81,67.64,69.11
82,72.45,69.37
83,71.74,69.13
84,73.24,68.89
85,72.59,68.91
86,71.31,68.87
87,70.66,69.03
88,71.52,69.65
89,69.75,69.66
90,71.46,69.61
91,71.39,69.34
92,71.0,69.21
93,66.38,69.07
94,71.19,69.35
95,66.95,69.61
96,66.6,69.53
97,71.02,69.71
98,66.74,69.66
99,71.14,69.59
100,67.45,69.56
101,70.31,69.98
102,71.14,69.99
103,66.13,70.14
104,70.35,70.07
105,66.12,70.33
106,65.51,70.1
107,69.58,69.91
108,71.26,70.09
109,66.68,70.33
110,71.86,70.07
111,70.42,69.66
112,72.22,69.72
113,69.85,69.86
114,67.19,69.78
115,67.63,69.83
116,71.21,69.83
117,66.94,69.59
118,66.63,69.3
119,69.43,69.58
120,65.93,69.52
121,68.63,69.09
122,70.53,69.25
123,70.69,69.51
124,65.17,69.59
125,70.89,69.6
126,71.07,69.42
127,71.04,69.24
128,69.09,69.5
129,69.63,69.34
130,66.69,69.42
131,70.65,69.46
132,66.5,69.0
133,70.18,68.99
134,66.2,68.66
135,64.61,68.85
136,72.17,68.97
137,70.35,69.22
138,70.72,69.45
139,69.87,69.61
140,74.52,69.41
141,68.9,68.96
142,68.87,69.02
143,67.58,68.85
144,65.05,68.91
145,69.22,69.05
146,70.81,68.74
147,65.92,68.88
148,69.42,69.19
149,69.82,69.25
150,68.67,69.14
151,69.48,69.5
152,69.91,69.71
153,69.64,69.3
154,69.56,69.29
155,69.35,69.23
156,69.4,69.2
157,69.03,69.22
158,68.75,69.52
159,68.81,70.05
160,69.92,69.98
161,68.15,69.84
162,72.03,69.37
163,71.01,69.34
164,70.85,69.29
165,71.26,68.96
166,67.85,68.66
167,66.12,69.11
168,65.87,69.09
169,69.75,68.9
