,real,pred
0,70.37,69.38
1,70.93,69.22
2,70.58,69.23
3,70.41,69.17
4,70.43,69.45
5,68.91,69.39
6,69.1,69.04
7,68.12,69.15
8,67.5,69.79
9,69.42,69.67
10,69.54,69.71
11,66.56,69.64
12,66.44,69.25
13,74.56,69.43
14,73.74,69.71
15,72.19,69.56
16,74.42,69.47
17,73.11,69.28
18,73.3,69.56
19,73.63,69.7
20,67.15,69.86
21,68.82,69.44
22,68.56,69.82
23,71.96,69.59
24,68.18,69.42
25,72.67,69.58
26,68.43,69.52
27,70.34,69.82
28,66.68,69.68
29,68.21,69.96
30,70.98,69.65
31,71.39,69.92
32,71.0,70.27
33,68.02,69.54
34,73.62,70.55
35,70.34,70.04
36,69.14,69.93
37,69.58,69.86
38,66.75,69.8
39,70.25,69.76
40,65.99,69.88
41,67.38,70.4
42,69.22,70.03
43,70.26,69.47
44,66.02,69.23
45,68.78,69.11
46,69.55,69.19
47,65.92,68.96
48,70.97,68.56
49,70.88,68.29
50,69.68,68.47
51,68.87,68.56
52,68.27,68.34
53,65.36,68.76
54,67.17,68.4
55,65.78,68.27
56,71.31,68.37
57,65.38,69.0
58,65.7,68.51
59,68.7,68.86
60,70.44,68.43
61,65.48,68.47
62,69.07,68.39
63,70.97,68.89
64,66.48,68.69
65,70.33,68.84
66,66.72,69.24
67,67.66,69.8
68,67.66,69.82
69,68.09,69.82
70,71.48,69.54
71,67.64,69.41
72,72.45,69.32
73,71.74,69.23
74,73.24,69.5
75,72.59,69.07
76,71.31,69.01
77,70.66,68.85
78,71.52,68.85
79,69.75,68.95
80,71.46,68.85
81,71.39,69.51
82,71.0,68.99
83,66.38,69.21
84,71.19,68.95
85,66.95,68.66
86,66.6,68.49
87,71.02,69.07
88,66.74,69.47
89,71.14,69.84
90,67.45,69.8
91,70.31,69.84
92,71.14,69.71
93,66.13,69.36
94,70.35,69.4
95,66.12,69.85
96,65.51,70.08
97,69.58,69.9
98,71.26,69.92
99,66.68,69.9
100,71.86,70.28
101,70.42,70.2
102,72.22,70.33
103,69.85,70.04
104,67.19,69.95
105,67.63,70.13
106,71.21,70.11
107,66.94,69.68
108,66.63,69.12
109,69.43,69.33
110,65.93,69.35
111,68.63,69.86
112,70.53,69.9
113,70.69,69.36
114,65.17,69.53
115,70.89,69.34
116,71.07,69.82
117,71.04,69.76
118,69.09,69.96
119,69.63,70.07
120,66.69,69.88
121,70.65,69.7
122,66.5,69.88
123,70.18,69.41
124,66.2,69.19
125,64.61,68.51
126,72.17,69.1
127,70.35,68.91
128,70.72,68.59
129,69.87,68.89
130,74.52,69.04
131,68.9,68.92
132,68.87,68.75
133,67.58,68.71
134,65.05,68.62
135,69.22,68.35
136,70.81,68.14
137,65.92,68.3
138,69.42,68.78
139,69.82,68.81
140,68.67,69.02
141,69.48,69.12
142,69.91,68.83
143,69.64,68.81
144,69.56,68.93
145,69.35,68.9
146,69.4,68.71
147,69.03,68.77
148,68.75,68.86
149,68.81,68.81
150,69.92,69.17
151,68.15,69.53
152,72.03,68.99
153,71.01,68.78
154,70.85,68.74
155,71.26,69.36
156,67.85,69.82
157,66.12,69.53
158,65.87,68.91
159,69.75,68.64
