real,pred
69.42,69.65
69.54,69.69
66.56,70.01
66.44,69.87
74.56,70.1
73.74,70.31
72.19,70.96
74.42,71.19
73.11,71.02
73.3,71.03
73.63,70.62
67.15,70.59
68.82,70.51
68.56,70.53
71.96,70.36
68.18,70.89
72.67,71.01
78.76,71.07
68.43,70.74
70.34,70.66
66.68,70.34
68.21,70.37
70.98,70.16
71.39,70.11
71.0,70.38
68.02,70.44
73.62,70.37
70.34,70.35
69.14,70.27
69.58,69.9
66.75,69.59
70.25,69.77
65.99,69.75
67.38,69.44
69.22,69.55
70.26,69.58
66.02,69.58
68.78,69.41
69.55,69.46
65.92,69.16
70.97,69.16
70.88,69.19
69.68,69.12
68.87,69.08
68.27,68.9
65.36,69.11
67.17,68.61
83.35,68.8
65.78,68.59
83.35,68.73
71.31,68.35
65.38,68.74
83.36,68.82
83.35,69.06
65.7,68.88
68.7,68.81
70.44,68.57
83.35,68.43
83.35,68.13
65.48,68.52
69.07,68.67
83.35,68.86
70.97,68.69
83.35,68.79
66.48,68.68
70.33,68.31
66.72,68.25
67.66,68.46
83.35,68.3
83.35,68.36
67.66,68.81
83.36,68.84
83.35,68.83
68.09,69.54
71.48,68.87
67.64,68.88
72.45,68.74
71.74,69.08
73.24,69.13
72.59,69.3
71.31,69.28
70.66,69.81
71.52,69.7
69.75,70.01
71.46,70.11
71.39,70.18
71.0,70.22
66.38,70.32
71.19,70.39
66.95,70.44
66.6,70.07
71.02,70.11
66.74,69.87
71.14,70.05
67.45,69.8
70.31,70.02
71.14,70.13
66.13,70.26
70.35,70.16
66.12,70.24
65.51,69.99
69.58,69.92
71.26,69.96
66.68,69.88
71.86,69.88
70.42,69.55
72.22,69.71
69.85,69.79
67.19,69.84
67.63,69.61
71.21,69.71
66.94,69.54
66.63,69.68
69.43,69.94
65.93,70.19
68.63,69.48
70.53,69.53
70.69,69.2
65.17,69.52
70.89,69.27
71.07,69.21
71.04,68.84
69.09,69.25
69.63,69.12
66.69,69.72
70.65,69.73
66.5,69.46
70.18,69.46
66.2,69.21
64.61,68.63
72.17,69.04
70.35,68.46
70.72,69.16
69.87,69.1
74.52,69.43
68.9,68.92
68.87,69.05
67.58,68.88
65.05,69.5
69.22,69.46
70.81,69.43
65.92,69.3
69.42,69.15
69.82,68.78
68.67,68.89
69.48,69.26
69.91,69.21
69.64,69.34
69.56,69.48
69.35,69.25
69.4,69.18
69.03,69.11
68.75,69.13
68.81,69.3
69.92,69.01
68.15,69.18
76.4,69.14
72.03,69.22
71.01,68.91
70.85,69.23
71.26,69.04
67.85,68.83
66.12,68.44
65.87,68.64
69.75,68.3
