,real,pred
0,71.1,69.4
1,69.71,69.45
2,69.23,68.64
3,67.09,68.29
4,71.03,70.96
5,68.71,70.08
6,70.72,69.1
7,70.16,68.48
8,71.55,70.76
9,70.2,69.31
10,68.51,69.45
11,70.65,70.29
12,70.37,70.64
13,70.93,70.68
14,70.58,70.67
15,70.41,70.29
16,70.43,70.67
17,68.91,68.91
18,69.1,68.84
19,68.12,69.08
20,67.5,68.6
21,69.42,68.64
22,69.54,68.32
23,66.56,68.66
24,66.44,67.43
25,74.56,74.01
26,73.74,73.74
27,72.19,72.13
28,74.42,74.54
29,73.11,73.05
30,73.3,73.75
31,73.63,74.03
32,67.15,67.86
33,68.82,68.32
34,68.56,69.9
35,71.96,71.26
36,68.18,68.6
37,72.67,73.05
38,78.76,78.32
39,68.43,69.03
40,70.34,70.6
41,66.68,67.19
42,68.21,68.33
43,70.98,70.13
44,71.39,71.62
45,71,70.31
46,68.02,69.57
47,73.62,72.31
48,70.34,71.03
49,69.14,69.34
50,69.58,68.4
51,66.75,66.61
52,70.25,69.98
53,65.99,66.26
54,67.38,68.89
55,69.22,70.12
56,70.26,69.06
57,66.02,66.79
58,68.78,69.79
59,69.55,68.68
60,65.92,66.62
61,70.97,70
62,70.88,70.49
63,69.68,69.31
64,68.87,69
65,68.27,69.36
66,65.36,65.79
67,67.17,67.65
68,83.35,80.29
69,65.78,68.57
70,83.35,79.37
71,71.31,70.64
72,65.38,69.43
73,83.36,68.68
74,61.82,68.34
75,83.35,68.41
76,65.7,66.06
77,68.7,69.14
78,70.44,70.15
79,83.35,75.86
80,83.35,77.86
81,65.48,64.57
82,69.07,68.73
83,83.35,80.97
84,70.97,68.61
85,83.35,80.29
86,66.48,68.29
87,70.33,68.41
88,66.72,67.29
89,67.66,68.29
90,83.35,68.99
91,83.35,70.99
92,83.35,71.34
93,83.35,73.68
94,83.35,68.99
95,68.09,68.44
96,71.48,71.84
97,67.64,68.48
98,72.45,72.29
99,71.74,71.29
100,73.24,73.3
101,72.59,73.68
102,71.31,71.29
103,70.66,69.1
104,71.52,71.3
105,69.75,68.94
106,71.46,70.98
107,71.39,70.58
108,71,70.34
109,66.38,66.06
110,71.19,70.27
111,66.95,66.29
112,66.6,66.09
113,71.02,69.61
114,66.74,66.37
115,71.14,70.69
116,71.14,70.29
117,70.35,69.9
118,69.58,68.39
119,70.42,68.29
120,69.85,69
121,67.19,68.29
122,67.63,68.31
123,71.21,69.52
124,66.94,68.47
125,66.63,68.38
126,69.43,68.87
127,68.63,69.88
128,70.89,69.14
129,71.07,69.59
130,71.04,69.35
131,69.09,68.47
132,69.63,69.76
133,66.69,69.58
134,70.65,69.48
135,66.5,68.29
136,70.18,69.98
137,66.2,69.83
138,70.35,68.41
139,70.72,69.18
140,69.87,68.61
141,60.98,68.61
142,74.52,74.13
143,68.9,68.58
144,68.87,68.92
145,67.58,69.11
146,65.05,69.14
147,69.22,68.59
148,70.81,69.47
149,65.92,69.4
150,69.42,69.75
151,69.82,69.49
152,68.67,68.57
153,69.48,68.29
154,69.91,69.72
155,69.64,68.95
156,69.56,69.52
157,69.35,69.23
158,69.4,70.06
159,69.03,68.71
160,68.75,68.66
161,68.81,69.01
162,69.92,70.37
163,68.15,68.69
164,76.4,76.31
165,72.03,72.52
166,71.01,70.32
167,73.21,73.02
168,70.85,70.76
169,71.26,70.45
170,67.85,68.77
