real,pred
69.42,69.31
69.54,68.99
66.56,69.36
66.44,69.28
74.56,69.53
73.74,69.56
72.19,69.68
74.42,69.63
73.11,70.04
73.3,69.83
73.63,70.52
67.15,70.01
68.82,69.5
68.56,68.93
71.96,69.79
68.18,69.69
72.67,69.63
78.76,69.4
68.43,70.15
70.34,69.26
66.68,69.62
68.21,69.8
70.98,69.41
71.39,69.08
71.0,69.35
68.02,69.32
73.62,69.86
70.34,69.67
69.14,69.87
69.58,70.03
66.75,69.52
70.25,68.88
65.99,69.14
67.38,69.13
69.22,68.82
70.26,68.31
66.02,68.36
68.78,68.44
69.55,68.51
65.92,68.09
70.97,68.76
70.88,69.46
69.68,69.11
68.87,68.61
68.27,68.5
65.36,68.37
67.17,68.56
83.35,68.31
65.78,68.06
83.35,68.3
71.31,68.24
65.38,68.66
83.36,68.47
83.35,68.71
65.7,68.53
68.7,68.69
70.44,68.41
83.35,68.18
83.35,68.42
65.48,68.75
69.07,68.47
83.35,68.11
70.97,68.47
83.35,69.01
66.48,69.04
70.33,69.05
66.72,69.32
67.66,68.77
83.35,68.82
83.35,69.01
67.66,69.27
83.36,68.77
83.35,69.29
68.09,69.06
71.48,69.18
67.64,68.41
72.45,68.7
71.74,68.68
73.24,69.09
72.59,68.97
71.31,69.3
70.66,69.44
71.52,69.22
69.75,68.88
71.46,69.72
71.39,69.51
71.0,68.99
66.38,69.27
71.19,68.95
66.95,69.06
66.6,69.21
71.02,69.67
66.74,69.35
71.14,69.37
67.45,68.97
70.31,68.95
71.14,68.87
66.13,68.92
70.35,69.09
66.12,68.53
65.51,69.12
69.58,69.53
71.26,69.47
66.68,69.44
71.86,69.75
70.42,69.55
72.22,70.32
69.85,69.77
67.19,69.7
67.63,69.2
71.21,69.29
66.94,69.44
66.63,70.06
69.43,70.23
65.93,69.57
68.63,69.51
70.53,68.95
70.69,68.92
65.17,68.8
70.89,68.52
71.07,68.85
71.04,68.41
69.09,68.99
69.63,69.18
66.69,69.14
70.65,69.52
66.5,69.6
70.18,69.41
66.2,68.86
64.61,69.22
72.17,68.71
70.35,68.7
70.72,68.27
69.87,68.08
74.52,68.84
68.9,68.66
68.87,68.48
67.58,68.67
65.05,69.04
69.22,68.77
70.81,68.66
65.92,68.87
69.42,68.12
69.82,68.13
68.67,67.7
69.48,68.62
69.91,68.0
69.64,68.36
69.56,68.65
69.35,69.21
69.4,68.39
69.03,69.27
68.75,68.14
68.81,67.81
69.92,67.71
68.15,68.05
76.4,68.11
72.03,68.63
71.01,68.08
70.85,68.56
71.26,68.63
67.85,68.18
66.12,68.54
65.87,68.3
69.75,67.89
