real,pred
69.42,69.62
69.54,69.39
66.56,69.16
66.44,69.26
74.56,69.35
73.74,69.41
72.19,69.57
74.42,69.67
73.11,69.37
73.3,68.92
73.63,68.76
67.15,68.77
68.82,68.94
68.56,68.55
71.96,68.53
68.18,68.6
72.67,68.99
78.76,68.56
68.43,69.01
70.34,68.99
66.68,69.0
68.21,69.14
70.98,69.22
71.39,69.31
71.0,69.24
68.02,69.6
73.62,69.6
70.34,70.34
69.14,70.12
69.58,70.11
66.75,69.86
70.25,69.67
65.99,69.19
67.38,69.64
69.22,69.64
70.26,69.65
66.02,69.58
68.78,69.8
69.55,69.54
65.92,70.07
70.97,69.78
70.88,69.89
69.68,69.85
68.87,70.26
68.27,69.82
65.36,69.31
67.17,70.02
83.35,69.87
65.78,69.49
83.35,69.61
71.31,70.26
65.38,69.62
83.36,69.11
83.35,69.43
65.7,68.95
68.7,68.81
70.44,68.24
83.35,68.64
83.35,68.86
65.48,68.45
69.07,68.72
83.35,68.72
70.97,69.13
83.35,69.04
66.48,68.91
70.33,68.5
66.72,68.81
67.66,68.27
83.35,68.44
83.35,68.42
67.66,68.85
83.36,68.05
83.35,68.47
68.09,67.96
71.48,68.16
67.64,67.79
72.45,68.53
71.74,68.43
73.24,68.71
72.59,68.43
71.31,68.79
70.66,68.81
71.52,68.41
69.75,68.45
71.46,68.43
71.39,68.25
71.0,68.2
66.38,67.94
71.19,68.51
66.95,68.36
66.6,68.73
71.02,68.24
66.74,68.57
71.14,68.98
67.45,69.41
70.31,69.2
71.14,69.5
66.13,69.16
70.35,69.34
66.12,69.59
65.51,69.49
69.58,69.16
71.26,68.98
66.68,69.07
71.86,69.52
70.42,69.23
72.22,69.86
69.85,69.94
67.19,69.98
67.63,69.81
71.21,69.81
66.94,69.97
66.63,69.51
69.43,69.57
65.93,69.52
68.63,69.55
70.53,69.02
70.69,68.45
65.17,68.76
70.89,69.56
71.07,68.91
71.04,69.17
69.09,69.58
69.63,69.82
66.69,69.55
70.65,69.24
66.5,69.08
70.18,69.11
66.2,68.92
64.61,69.56
72.17,69.53
70.35,69.58
70.72,69.92
69.87,69.61
74.52,69.53
68.9,69.67
68.87,68.72
67.58,68.85
65.05,68.64
69.22,68.75
70.81,68.71
65.92,68.7
69.42,68.25
69.82,68.4
68.67,68.96
69.48,69.07
69.91,69.49
69.64,69.08
69.56,69.85
69.35,69.7
69.4,69.79
69.03,69.47
68.75,70.04
68.81,69.55
69.92,69.35
68.15,69.21
76.4,69.59
72.03,69.41
71.01,69.31
70.85,69.32
71.26,69.47
67.85,69.13
66.12,69.3
65.87,68.87
69.75,69.03
