real,pred
70.65,69.72
70.37,69.94
70.93,69.49
70.58,70.01
70.41,69.07
70.43,70.01
68.91,69.76
69.1,70.45
68.12,69.38
67.5,70.48
69.42,71.01
69.54,70.1
66.56,69.07
66.44,69.16
74.56,69.63
73.74,69.35
72.19,70.62
74.42,70.84
73.11,71.13
73.3,70.9
73.63,70.63
67.15,70.88
68.82,70.38
68.56,70.09
71.96,70.39
68.18,69.78
72.67,70.53
78.76,70.08
68.43,69.79
70.34,70.36
66.68,69.93
68.21,69.86
70.98,69.48
71.39,69.3
71.0,69.89
68.02,70.2
73.62,69.85
70.34,69.82
69.14,69.72
69.58,69.27
66.75,68.84
70.25,69.02
65.99,68.86
67.38,68.88
69.22,67.94
70.26,68.79
66.02,69.38
68.78,69.21
69.55,68.95
65.92,69.28
70.97,69.22
70.88,68.98
69.68,68.97
68.87,69.22
68.27,69.17
65.36,69.1
67.17,69.2
83.35,69.44
65.78,69.2
83.35,69.65
71.31,69.25
65.38,69.72
83.36,69.29
83.35,69.45
65.7,69.09
68.7,69.36
70.44,69.51
83.35,68.68
83.35,69.21
65.48,69.49
69.07,69.6
83.35,69.29
70.97,69.42
83.35,69.52
66.48,68.92
70.33,69.47
66.72,69.27
67.66,69.21
83.35,68.4
83.35,68.75
67.66,68.71
83.36,69.33
83.35,69.05
68.09,69.06
71.48,69.23
67.64,69.24
72.45,69.44
71.74,69.03
73.24,69.0
72.59,68.8
71.31,69.01
70.66,69.51
71.52,69.09
69.75,70.14
71.46,69.99
71.39,70.81
71.0,70.66
66.38,70.84
71.19,70.13
66.95,70.62
66.6,69.44
71.02,69.07
66.74,69.46
71.14,69.63
67.45,69.83
70.31,69.92
71.14,69.89
66.13,69.26
70.35,69.53
66.12,69.52
65.51,69.39
69.58,69.22
71.26,69.63
66.68,69.56
71.86,69.64
70.42,69.43
72.22,69.62
69.85,68.47
67.19,69.19
67.63,69.29
71.21,69.51
66.94,69.62
66.63,69.98
69.43,69.82
65.93,69.64
68.63,69.52
70.53,69.87
70.69,69.29
65.17,69.3
70.89,68.6
71.07,68.5
71.04,68.54
69.09,68.88
69.63,69.26
66.69,69.93
70.65,69.9
66.5,69.87
70.18,69.37
66.2,69.25
64.61,68.84
72.17,68.46
70.35,68.56
70.72,69.76
69.87,70.15
74.52,69.44
68.9,69.97
68.87,69.75
67.58,69.69
65.05,69.51
69.22,69.4
70.81,69.45
65.92,69.57
69.42,69.48
69.82,69.75
68.67,69.48
69.48,69.59
69.91,69.47
69.64,69.3
69.56,69.07
69.35,69.18
69.4,69.38
69.03,69.69
68.75,69.52
68.81,69.68
69.92,68.88
68.15,69.1
76.4,69.6
72.03,69.42
71.01,69.47
70.85,69.51
71.26,69.23
67.85,69.38
66.12,69.41
65.87,69.12
69.75,69.36
