real,pred
70.65,68.97
70.37,68.83
70.93,68.78
70.58,68.75
70.41,68.83
70.43,68.65
68.91,68.84
69.1,69.0
68.12,69.0
67.5,69.31
69.42,69.15
69.54,69.0
66.56,68.91
66.44,68.87
74.56,68.96
73.74,69.04
72.19,69.22
74.42,69.32
73.11,69.24
73.3,69.21
73.63,69.2
67.15,69.47
68.82,69.57
68.56,69.6
71.96,69.33
68.18,69.35
72.67,69.27
78.76,69.71
68.43,69.55
70.34,69.36
66.68,69.2
68.21,69.46
70.98,69.59
71.39,69.84
71.0,69.89
68.02,69.84
73.62,69.78
70.34,69.63
69.14,69.7
69.58,69.44
66.75,69.7
70.25,69.56
65.99,69.22
67.38,68.83
69.22,69.32
70.26,69.31
66.02,69.07
68.78,68.6
69.55,68.87
65.92,68.87
70.97,69.05
70.88,69.13
69.68,69.32
68.87,69.33
68.27,69.25
65.36,68.86
67.17,69.11
83.35,68.8
65.78,68.82
83.35,68.94
71.31,68.88
65.38,68.81
83.36,68.55
83.35,68.55
65.7,68.44
68.7,68.4
70.44,68.28
83.35,68.24
83.35,68.25
65.48,68.46
69.07,68.43
83.35,68.68
70.97,68.64
83.35,68.68
66.48,68.55
70.33,68.74
66.72,68.78
67.66,68.63
83.35,68.35
83.35,68.01
67.66,68.44
83.36,68.31
83.35,68.39
68.09,68.64
71.48,69.0
67.64,68.84
72.45,68.99
71.74,68.8
73.24,68.94
72.59,68.89
71.31,68.78
70.66,68.88
71.52,68.96
69.75,69.02
71.46,69.27
71.39,69.54
71.0,69.33
66.38,69.13
71.19,69.39
66.95,69.06
66.6,69.14
71.02,69.26
66.74,69.38
71.14,69.5
67.45,69.25
70.31,69.64
71.14,69.49
66.13,69.83
70.35,69.73
66.12,69.96
65.51,70.05
69.58,69.89
71.26,69.54
66.68,69.86
71.86,69.63
70.42,69.82
72.22,70.0
69.85,69.68
67.19,69.17
67.63,69.17
71.21,69.2
66.94,69.04
66.63,69.25
69.43,69.53
65.93,69.26
68.63,68.81
70.53,68.66
70.69,68.42
65.17,68.32
70.89,68.26
71.07,68.28
71.04,68.24
69.09,68.49
69.63,68.78
66.69,68.74
70.65,68.47
66.5,68.54
70.18,68.65
66.2,68.82
64.61,69.01
72.17,68.67
70.35,68.53
70.72,68.49
69.87,68.4
74.52,68.61
68.9,68.59
68.87,68.67
67.58,68.82
65.05,68.93
69.22,69.01
70.81,68.67
65.92,68.58
69.42,68.54
69.82,68.45
68.67,68.06
69.48,68.0
69.91,68.12
69.64,68.13
69.56,68.48
69.35,68.81
69.4,68.97
69.03,69.22
68.75,69.29
68.81,69.08
69.92,68.78
68.15,68.57
76.4,68.8
72.03,68.96
71.01,69.03
70.85,68.9
71.26,68.69
67.85,68.97
66.12,68.8
65.87,68.72
69.75,68.67
