real,pred
69.71,69.69
69.23,68.86
67.09,68.85
71.03,69.15
68.71,69.17
70.72,69.19
70.16,69.19
71.55,69.71
70.2,70.35
68.51,70.23
70.65,70.53
70.37,69.33
70.93,69.58
70.58,68.88
70.41,68.95
70.43,69.4
68.91,69.46
69.1,69.25
68.12,68.85
67.5,69.21
69.42,69.1
69.54,69.45
66.56,69.44
66.44,68.78
74.56,69.0
73.74,69.14
72.19,69.42
74.42,69.09
73.11,68.31
73.3,68.37
73.63,70.22
67.15,68.63
68.82,68.61
68.56,68.6
71.96,68.87
68.18,69.61
72.67,69.7
78.76,69.62
68.43,69.26
70.34,69.53
66.68,68.92
68.21,68.95
70.98,68.55
71.39,68.61
71.0,69.75
68.02,69.68
73.62,70.39
70.34,70.1
69.14,70.11
69.58,69.36
66.75,68.72
70.25,68.15
65.99,68.37
67.38,67.64
69.22,68.0
70.26,67.52
66.02,68.03
68.78,67.79
69.55,68.26
65.92,68.16
70.97,68.27
70.88,68.25
69.68,68.33
68.87,68.3
68.27,68.56
65.36,68.88
67.17,68.93
83.35,68.78
65.78,69.02
83.35,68.84
71.31,69.02
65.38,68.34
83.36,67.98
83.35,68.17
65.7,68.62
68.7,68.77
70.44,69.67
83.35,68.55
83.35,68.41
65.48,68.05
69.07,67.84
83.35,68.18
70.97,68.18
83.35,68.71
66.48,68.81
70.33,69.02
66.72,69.01
67.66,68.49
83.35,68.46
83.35,68.01
67.66,68.63
83.36,68.65
83.35,68.6
68.09,68.65
71.48,68.39
67.64,68.45
72.45,68.45
71.74,68.92
73.24,69.06
72.59,68.92
71.31,68.83
70.66,68.84
71.52,68.6
69.75,68.78
71.46,68.41
71.39,68.97
71.0,68.52
66.38,68.65
71.19,69.14
66.95,68.82
66.6,68.8
71.02,68.6
66.74,69.38
71.14,69.16
67.45,69.15
70.31,69.35
71.14,68.98
66.13,68.34
70.35,68.43
66.12,68.42
65.51,68.63
69.58,68.59
71.26,68.62
66.68,68.85
71.86,69.31
70.42,69.2
72.22,69.97
69.85,69.42
67.19,68.85
67.63,68.38
71.21,68.33
66.94,68.13
66.63,69.35
69.43,68.87
65.93,68.75
68.63,68.18
70.53,68.37
70.69,68.32
65.17,68.43
70.89,68.38
71.07,68.48
71.04,68.63
69.09,68.79
69.63,68.64
66.69,68.36
70.65,68.27
66.5,68.27
70.18,68.71
66.2,68.75
64.61,68.67
72.17,68.76
70.35,69.14
70.72,68.97
69.87,68.98
74.52,68.68
68.9,67.78
68.87,67.49
67.58,67.79
65.05,68.43
69.22,68.51
70.81,68.41
65.92,68.34
69.42,68.01
69.82,68.57
68.67,68.51
69.48,68.52
69.91,68.18
69.64,68.22
69.56,68.45
69.35,68.31
69.4,68.56
69.03,68.43
68.75,69.19
68.81,69.12
69.92,68.61
68.15,68.48
76.4,68.31
72.03,68.47
71.01,68.19
70.85,68.69
71.26,68.31
67.85,67.61
66.12,67.97
65.87,68.05
69.75,68.34
