real,pred
70.65,68.53
70.37,68.55
70.93,68.78
70.58,69.39
70.41,68.72
70.43,68.65
68.91,69.4
69.1,69.26
68.12,69.05
67.5,68.47
69.42,68.54
69.54,68.44
66.56,68.21
66.44,68.38
74.56,69.12
73.74,69.69
72.19,69.7
74.42,68.82
73.11,69.15
73.3,68.39
73.63,68.5
67.15,68.36
68.82,68.56
68.56,68.98
71.96,69.11
68.18,69.09
72.67,69.0
78.76,69.09
68.43,69.06
70.34,69.79
66.68,68.79
68.21,69.31
70.98,69.11
71.39,69.24
71.0,69.71
68.02,69.72
73.62,69.34
70.34,69.48
69.14,69.16
69.58,69.1
66.75,69.1
70.25,68.86
65.99,69.16
67.38,69.39
69.22,69.17
70.26,69.1
66.02,68.67
68.78,69.1
69.55,69.01
65.92,69.53
70.97,69.56
70.88,70.17
69.68,69.24
68.87,69.56
68.27,69.51
65.36,69.85
67.17,69.37
83.35,69.92
65.78,69.05
83.35,69.22
71.31,67.92
65.38,68.45
83.36,68.28
83.35,68.79
65.7,69.0
68.7,68.91
70.44,69.5
83.35,69.09
83.35,68.99
65.48,68.79
69.07,68.39
83.35,68.14
70.97,68.4
83.35,68.67
66.48,68.01
70.33,68.01
66.72,68.16
67.66,67.86
83.35,67.99
83.35,67.92
67.66,68.08
83.36,68.21
83.35,68.22
68.09,68.62
71.48,68.06
67.64,68.75
72.45,68.1
71.74,68.28
73.24,68.73
72.59,68.81
71.31,68.07
70.66,68.4
71.52,67.78
69.75,68.34
71.46,68.28
71.39,68.09
71.0,68.83
66.38,69.07
71.19,68.97
66.95,68.75
66.6,69.2
71.02,69.23
66.74,69.7
71.14,69.1
67.45,68.87
70.31,68.38
71.14,68.72
66.13,68.4
70.35,68.25
66.12,69.36
65.51,69.38
69.58,69.69
71.26,69.78
66.68,69.99
71.86,69.68
70.42,69.91
72.22,69.55
69.85,69.85
67.19,69.22
67.63,68.29
71.21,68.53
66.94,68.23
66.63,68.37
69.43,68.43
65.93,68.35
68.63,68.9
70.53,68.74
70.69,68.68
65.17,68.72
70.89,68.61
71.07,68.35
71.04,68.76
69.09,68.75
69.63,69.24
66.69,68.67
70.65,68.62
66.5,68.51
70.18,67.64
66.2,68.34
64.61,68.95
72.17,68.5
70.35,68.69
70.72,68.65
69.87,67.8
74.52,68.07
68.9,67.75
68.87,67.84
67.58,68.1
65.05,67.74
69.22,68.03
70.81,68.2
65.92,68.49
69.42,68.8
69.82,68.95
68.67,68.88
69.48,68.88
69.91,68.81
69.64,69.02
69.56,68.92
69.35,69.06
69.4,69.56
69.03,70.01
68.75,69.53
68.81,69.38
69.92,69.28
68.15,69.02
76.4,69.29
72.03,69.22
71.01,69.28
70.85,69.49
71.26,69.09
67.85,69.53
66.12,69.26
65.87,68.99
69.75,68.91
