real,pred
69.42,69.63
69.54,69.85
66.56,69.67
66.44,70.16
74.56,70.04
73.74,70.59
72.19,70.11
74.42,70.35
73.11,70.35
73.3,70.33
73.63,70.25
67.15,70.02
68.82,70.17
68.56,69.89
71.96,70.01
68.18,70.28
72.67,69.84
78.76,69.47
68.43,70.37
70.34,69.73
66.68,69.73
68.21,69.74
70.98,69.67
71.39,70.01
71.0,70.42
68.02,70.24
73.62,70.15
70.34,70.04
69.14,69.96
69.58,70.01
66.75,70.44
70.25,69.94
65.99,70.16
67.38,70.05
69.22,70.22
70.26,70.26
66.02,70.11
68.78,69.56
69.55,69.15
65.92,69.19
70.97,69.32
70.88,69.97
69.68,69.89
68.87,69.16
68.27,69.83
65.36,69.75
67.17,69.42
83.35,69.66
65.78,68.97
83.35,69.37
71.31,69.94
65.38,69.71
83.36,69.91
83.35,69.72
65.7,68.94
68.7,69.13
70.44,69.33
83.35,68.59
83.35,69.05
65.48,69.56
69.07,69.54
83.35,69.36
70.97,69.12
83.35,69.68
66.48,69.86
70.33,69.11
66.72,69.13
67.66,68.75
83.35,68.74
83.35,68.48
67.66,68.78
83.36,69.27
83.35,69.3
68.09,69.62
71.48,69.24
67.64,69.04
72.45,69.55
71.74,69.28
73.24,69.77
72.59,69.75
71.31,69.82
70.66,69.41
71.52,69.45
69.75,69.24
71.46,69.77
71.39,69.49
71.0,69.23
66.38,70.07
71.19,70.11
66.95,70.14
66.6,70.29
71.02,70.13
66.74,69.6
71.14,69.79
67.45,69.08
70.31,69.56
71.14,69.78
66.13,69.92
70.35,69.6
66.12,69.46
65.51,70.13
69.58,70.29
71.26,69.99
66.68,70.34
71.86,70.34
70.42,69.79
72.22,70.5
69.85,70.11
67.19,69.79
67.63,69.69
71.21,69.57
66.94,69.44
66.63,70.66
69.43,70.99
65.93,70.67
68.63,71.03
70.53,70.42
70.69,70.0
65.17,69.92
70.89,69.95
71.07,69.76
71.04,69.45
69.09,69.3
69.63,69.4
66.69,70.12
70.65,69.7
66.5,69.86
70.18,70.24
66.2,70.14
64.61,70.24
72.17,69.81
70.35,69.77
70.72,69.28
69.87,69.11
74.52,69.65
68.9,69.53
68.87,69.0
67.58,69.12
65.05,68.97
69.22,69.35
70.81,69.99
65.92,70.13
69.42,69.23
69.82,69.25
68.67,69.14
69.48,69.21
69.91,69.1
69.64,69.09
69.56,69.68
69.35,69.68
69.4,69.65
69.03,70.29
68.75,70.34
68.81,69.97
69.92,70.22
68.15,69.89
76.4,70.4
72.03,69.8
71.01,69.51
70.85,69.64
71.26,68.83
67.85,68.84
66.12,68.66
65.87,68.52
69.75,68.2
