real,pred
69.71,68.94
69.23,68.89
67.09,69.05
71.03,69.03
68.71,68.84
70.72,68.88
70.16,68.96
71.55,69.03
70.2,69.13
68.51,69.27
70.65,69.33
70.37,69.41
70.93,69.02
70.58,68.55
70.41,68.73
70.43,68.75
68.91,68.95
69.1,68.94
68.12,68.9
67.5,69.23
69.42,69.24
69.54,69.25
66.56,69.03
66.44,68.77
74.56,68.8
73.74,68.98
72.19,69.21
74.42,69.02
73.11,68.9
73.3,69.02
73.63,69.18
67.15,69.07
68.82,68.79
68.56,68.71
71.96,68.75
68.18,68.99
72.67,68.91
78.76,68.97
68.43,69.08
70.34,68.9
66.68,69.09
68.21,68.86
70.98,68.68
71.39,68.62
71.0,68.84
68.02,69.05
73.62,69.23
70.34,69.03
69.14,69.18
69.58,68.91
66.75,69.16
70.25,69.37
65.99,69.31
67.38,68.99
69.22,68.11
70.26,68.13
66.02,68.34
68.78,68.15
69.55,67.89
65.92,68.26
70.97,67.94
70.88,68.16
69.68,68.1
68.87,68.33
68.27,68.43
65.36,68.58
67.17,68.29
83.35,68.22
65.78,68.18
83.35,68.37
71.31,68.21
65.38,68.37
83.36,67.92
83.35,67.98
65.7,68.13
68.7,68.22
70.44,68.26
83.35,67.94
83.35,67.89
65.48,68.18
69.07,68.18
83.35,67.91
70.97,68.15
83.35,68.25
66.48,68.49
70.33,68.19
66.72,67.99
67.66,67.93
83.35,67.8
83.35,67.7
67.66,67.91
83.36,68.24
83.35,68.06
68.09,68.2
71.48,68.44
67.64,68.39
72.45,68.33
71.74,68.44
73.24,68.54
72.59,68.46
71.31,68.83
70.66,69.24
71.52,69.14
69.75,69.09
71.46,69.1
71.39,69.11
71.0,68.94
66.38,68.95
71.19,69.07
66.95,68.91
66.6,69.05
71.02,69.22
66.74,69.59
71.14,69.68
67.45,69.31
70.31,69.13
71.14,68.89
66.13,68.72
70.35,68.75
66.12,68.79
65.51,68.66
69.58,68.75
71.26,68.88
66.68,68.97
71.86,69.02
70.42,69.12
72.22,69.35
69.85,69.74
67.19,69.9
67.63,69.08
71.21,68.91
66.94,68.73
66.63,69.1
69.43,68.77
65.93,68.91
68.63,68.63
70.53,68.42
70.69,68.08
65.17,68.11
70.89,68.05
71.07,67.79
71.04,68.3
69.09,68.33
69.63,68.39
66.69,68.13
70.65,67.87
66.5,67.64
70.18,68.06
66.2,68.52
64.61,68.66
72.17,68.82
70.35,69.26
70.72,69.55
69.87,69.78
74.52,69.87
68.9,69.27
68.87,69.05
67.58,68.68
65.05,68.65
69.22,68.4
70.81,68.34
65.92,68.7
69.42,68.68
69.82,68.57
68.67,68.44
69.48,68.31
69.91,68.45
69.64,68.55
69.56,68.52
69.35,68.36
69.4,68.44
69.03,68.53
68.75,68.76
68.81,68.73
69.92,68.7
68.15,68.94
76.4,69.36
72.03,69.65
71.01,69.36
70.85,68.89
71.26,69.26
67.85,68.99
66.12,68.7
65.87,68.34
69.75,68.07
