real,pred
69.42,69.95
69.54,69.82
66.56,69.44
66.44,69.23
74.56,69.2
73.74,69.34
72.19,69.15
74.42,69.34
73.11,69.14
73.3,69.37
73.63,69.21
67.15,69.42
68.82,68.92
68.56,69.28
71.96,69.1
68.18,69.11
72.67,68.95
78.76,69.24
68.43,69.24
70.34,69.38
66.68,69.48
68.21,69.28
70.98,69.08
71.39,68.94
71.0,69.12
68.02,69.26
73.62,69.31
70.34,69.11
69.14,69.42
69.58,69.68
66.75,70.01
70.25,70.03
65.99,69.69
67.38,69.29
69.22,68.66
70.26,68.95
66.02,69.18
68.78,69.08
69.55,68.86
65.92,69.24
70.97,68.99
70.88,68.59
69.68,68.67
68.87,69.1
68.27,68.35
65.36,69.29
67.17,68.77
83.35,69.04
65.78,68.77
83.35,68.27
71.31,68.56
65.38,69.09
83.36,68.05
83.35,68.33
65.7,68.31
68.7,68.42
70.44,68.4
83.35,68.31
83.35,67.95
65.48,68.36
69.07,68.53
83.35,68.45
70.97,68.56
83.35,68.43
66.48,68.84
70.33,69.4
66.72,69.06
67.66,69.42
83.35,69.02
83.35,68.74
67.66,67.96
83.36,68.55
83.35,68.51
68.09,68.82
71.48,68.53
67.64,69.14
72.45,68.98
71.74,69.45
73.24,69.38
72.59,68.95
71.31,68.89
70.66,68.58
71.52,68.4
69.75,68.24
71.46,68.23
71.39,68.49
71.0,68.42
66.38,68.53
71.19,68.87
66.95,68.67
66.6,68.63
71.02,68.5
66.74,68.32
71.14,68.14
67.45,67.94
70.31,68.43
71.14,68.55
66.13,68.48
70.35,68.53
66.12,68.66
65.51,68.82
69.58,68.75
71.26,69.27
66.68,69.43
71.86,69.56
70.42,69.66
72.22,69.98
69.85,70.05
67.19,69.97
67.63,69.28
71.21,69.25
66.94,68.82
66.63,69.2
69.43,69.1
65.93,69.49
68.63,69.71
70.53,69.34
70.69,69.11
65.17,68.76
70.89,68.5
71.07,68.54
71.04,68.74
69.09,68.74
69.63,69.1
66.69,69.65
70.65,69.66
66.5,69.46
70.18,69.73
66.2,69.73
64.61,69.58
72.17,69.07
70.35,69.04
70.72,68.79
69.87,68.95
74.52,68.96
68.9,69.09
68.87,69.07
67.58,68.97
65.05,68.44
69.22,68.79
70.81,68.48
65.92,68.48
69.42,68.56
69.82,68.97
68.67,68.7
69.48,68.44
69.91,68.38
69.64,68.64
69.56,68.85
69.35,68.66
69.4,68.47
69.03,68.73
68.75,69.3
68.81,69.51
69.92,69.86
68.15,69.34
76.4,69.15
72.03,69.06
71.01,69.29
70.85,69.6
71.26,69.57
67.85,69.31
66.12,69.26
65.87,68.8
69.75,68.52
