real,pred
70.65,69.12
70.37,69.58
70.93,69.59
70.58,69.81
70.41,69.56
70.43,69.57
68.91,69.41
69.1,69.16
68.12,68.75
67.5,69.14
69.42,69.23
69.54,68.81
66.56,69.24
66.44,69.1
74.56,69.11
73.74,68.96
72.19,69.79
74.42,69.65
73.11,70.2
73.3,69.94
73.63,69.6
67.15,69.63
68.82,69.14
68.56,69.05
71.96,69.53
68.18,69.57
72.67,69.24
78.76,69.24
68.43,69.95
70.34,69.09
66.68,69.69
68.21,69.31
70.98,69.54
71.39,69.82
71.0,69.73
68.02,69.84
73.62,70.1
70.34,70.07
69.14,69.68
69.58,69.36
66.75,69.44
70.25,69.75
65.99,69.2
67.38,69.54
69.22,69.29
70.26,69.47
66.02,69.65
68.78,69.3
69.55,69.45
65.92,69.58
70.97,69.68
70.88,69.47
69.68,69.43
68.87,69.49
68.27,69.87
65.36,69.44
67.17,69.72
83.35,69.49
65.78,69.23
83.35,69.27
71.31,69.35
65.38,68.81
83.36,69.15
83.35,68.77
65.7,69.16
68.7,69.56
70.44,69.7
83.35,69.83
83.35,69.43
65.48,69.0
69.07,68.87
83.35,68.98
70.97,69.09
83.35,69.5
66.48,69.08
70.33,69.46
66.72,69.46
67.66,69.27
83.35,68.96
83.35,68.68
67.66,68.23
83.36,68.25
83.35,69.07
68.09,69.22
71.48,69.73
67.64,69.95
72.45,69.81
71.74,69.76
73.24,69.23
72.59,68.88
71.31,68.36
70.66,68.79
71.52,69.39
69.75,69.41
71.46,69.41
71.39,69.51
71.0,69.65
66.38,69.57
71.19,69.6
66.95,70.13
66.6,69.79
71.02,70.1
66.74,69.48
71.14,69.39
67.45,69.25
70.31,69.64
71.14,69.52
66.13,69.63
70.35,69.62
66.12,69.39
65.51,69.81
69.58,69.79
71.26,69.68
66.68,69.73
71.86,69.79
70.42,69.38
72.22,69.54
69.85,69.51
67.19,69.29
67.63,69.58
71.21,69.37
66.94,68.93
66.63,69.03
69.43,69.5
65.93,69.95
68.63,70.17
70.53,69.91
70.69,69.48
65.17,69.26
70.89,68.91
71.07,68.64
71.04,68.91
69.09,69.08
69.63,69.29
66.69,69.16
70.65,69.0
66.5,68.97
70.18,69.2
66.2,69.5
64.61,70.13
72.17,69.69
70.35,69.12
70.72,69.15
69.87,68.74
74.52,68.97
68.9,69.12
68.87,69.3
67.58,69.24
65.05,69.37
69.22,69.22
70.81,70.01
65.92,69.33
69.42,69.43
69.82,68.86
68.67,68.39
69.48,68.61
69.91,68.62
69.64,69.14
69.56,68.95
69.35,69.69
69.4,69.37
69.03,70.27
68.75,69.7
68.81,69.46
69.92,69.14
68.15,69.56
76.4,69.55
72.03,69.34
71.01,69.73
70.85,69.9
71.26,69.74
67.85,69.92
66.12,69.81
65.87,69.2
69.75,68.72
