real,pred
70.65,70.0
70.37,70.25
70.93,70.19
70.58,69.96
70.41,70.04
70.43,69.93
68.91,69.74
69.1,69.97
68.12,70.16
67.5,70.52
69.42,70.17
69.54,70.17
66.56,70.11
66.44,70.23
74.56,70.61
73.74,70.8
72.19,70.36
74.42,70.55
73.11,70.22
73.3,69.91
73.63,70.03
67.15,69.82
68.82,70.01
68.56,69.75
71.96,70.21
68.18,70.2
72.67,69.92
78.76,69.76
68.43,69.64
70.34,69.54
66.68,69.36
68.21,69.09
70.98,68.96
71.39,68.8
71.0,69.1
68.02,68.78
73.62,69.08
70.34,69.12
69.14,69.37
69.58,69.31
66.75,69.49
70.25,69.46
65.99,69.6
67.38,69.49
69.22,69.23
70.26,69.21
66.02,68.76
68.78,68.64
69.55,69.3
65.92,69.24
70.97,69.6
70.88,69.53
69.68,69.48
68.87,69.44
68.27,69.03
65.36,69.21
67.17,68.6
83.35,68.85
65.78,68.61
83.35,68.64
71.31,68.87
65.38,68.84
83.36,69.14
83.35,69.46
65.7,69.98
68.7,69.8
70.44,69.46
83.35,68.89
83.35,68.8
65.48,68.95
69.07,68.92
83.35,68.63
70.97,68.99
83.35,69.69
66.48,69.6
70.33,69.18
66.72,68.71
67.66,68.76
83.35,69.02
83.35,68.57
67.66,68.72
83.36,68.7
83.35,68.87
68.09,69.06
71.48,69.88
67.64,70.02
72.45,70.04
71.74,70.24
73.24,69.88
72.59,69.76
71.31,69.38
70.66,69.28
71.52,68.92
69.75,69.6
71.46,69.59
71.39,70.28
71.0,69.74
66.38,70.73
71.19,70.94
66.95,70.11
66.6,69.57
71.02,69.34
66.74,69.04
71.14,68.85
67.45,68.88
70.31,68.72
71.14,68.46
66.13,68.92
70.35,69.18
66.12,69.83
65.51,69.81
69.58,69.72
71.26,69.89
66.68,69.75
71.86,69.46
70.42,69.39
72.22,69.21
69.85,69.14
67.19,68.86
67.63,69.05
71.21,69.1
66.94,69.5
66.63,69.83
69.43,70.26
65.93,69.9
68.63,70.15
70.53,69.75
70.69,69.57
65.17,69.28
70.89,69.23
71.07,68.94
71.04,69.62
69.09,69.41
69.63,69.32
66.69,69.21
70.65,69.45
66.5,69.45
70.18,69.41
66.2,69.28
64.61,69.13
72.17,69.35
70.35,69.44
70.72,69.01
69.87,69.01
74.52,68.69
68.9,68.63
68.87,68.83
67.58,68.91
65.05,69.29
69.22,69.27
70.81,69.68
65.92,69.29
69.42,69.06
69.82,69.12
68.67,68.84
69.48,68.77
69.91,68.97
69.64,68.84
69.56,68.91
69.35,69.01
69.4,69.04
69.03,69.52
68.75,69.63
68.81,69.64
69.92,69.23
68.15,69.41
76.4,69.51
72.03,69.05
71.01,69.22
70.85,69.3
71.26,68.82
67.85,68.69
66.12,68.86
65.87,68.83
69.75,68.88
