real,pred
69.71,68.87
69.23,68.67
67.09,69.09
71.03,69.3
68.71,69.02
70.72,69.02
70.16,68.44
71.55,68.87
70.2,68.55
68.51,69.22
70.65,68.81
70.37,69.49
70.93,69.68
70.58,68.96
70.41,68.97
70.43,68.42
68.91,68.37
69.1,68.26
68.12,68.35
67.5,69.17
69.42,69.77
69.54,69.44
66.56,69.6
66.44,68.54
74.56,68.37
73.74,69.65
72.19,68.83
74.42,68.98
73.11,68.94
73.3,69.43
73.63,69.26
67.15,69.23
68.82,69.52
68.56,68.93
71.96,69.23
68.18,69.06
72.67,68.53
78.76,68.54
68.43,69.73
70.34,69.27
66.68,70.32
68.21,69.53
70.98,68.92
71.39,68.82
71.0,69.96
68.02,69.78
73.62,70.02
70.34,71.14
69.14,70.43
69.58,69.59
66.75,68.84
70.25,69.21
65.99,68.86
67.38,68.73
69.22,69.03
70.26,68.81
66.02,68.69
68.78,68.51
69.55,68.56
65.92,68.65
70.97,69.21
70.88,69.06
69.68,68.92
68.87,68.34
68.27,69.12
65.36,69.75
67.17,69.58
83.35,68.89
65.78,68.14
83.35,68.31
71.31,68.38
65.38,68.48
83.36,68.19
83.35,68.69
65.7,68.9
68.7,69.15
70.44,68.75
83.35,68.24
83.35,68.09
65.48,68.27
69.07,68.25
83.35,68.6
70.97,68.8
83.35,68.79
66.48,68.84
70.33,68.67
66.72,68.81
67.66,68.75
83.35,68.48
83.35,68.39
67.66,68.61
83.36,68.44
83.35,68.5
68.09,68.32
71.48,69.42
67.64,69.03
72.45,69.21
71.74,69.31
73.24,69.86
72.59,69.99
71.31,69.53
70.66,69.59
71.52,69.22
69.75,69.06
71.46,69.34
71.39,70.02
71.0,69.78
66.38,69.53
71.19,69.45
66.95,69.38
66.6,68.44
71.02,69.34
66.74,69.75
71.14,69.49
67.45,68.97
70.31,68.75
71.14,68.89
66.13,69.02
70.35,68.87
66.12,68.76
65.51,69.94
69.58,69.85
71.26,69.97
66.68,70.11
71.86,69.4
70.42,69.61
72.22,69.68
69.85,69.35
67.19,68.3
67.63,68.6
71.21,68.06
66.94,68.06
66.63,68.46
69.43,68.58
65.93,68.99
68.63,68.95
70.53,69.5
70.69,69.45
65.17,69.23
70.89,68.68
71.07,68.42
71.04,68.91
69.09,69.51
69.63,68.62
66.69,68.5
70.65,68.43
66.5,68.63
70.18,69.04
66.2,68.8
64.61,68.44
72.17,68.46
70.35,68.57
70.72,69.03
69.87,68.98
74.52,69.09
68.9,69.18
68.87,69.09
67.58,69.01
65.05,69.28
69.22,69.26
70.81,69.36
65.92,69.47
69.42,69.54
69.82,68.95
68.67,68.72
69.48,69.21
69.91,68.99
69.64,69.18
69.56,68.99
69.35,69.02
69.4,69.18
69.03,69.18
68.75,68.92
68.81,68.41
69.92,68.49
68.15,68.15
76.4,68.58
72.03,68.49
71.01,68.94
70.85,69.06
71.26,69.0
67.85,68.98
66.12,69.12
65.87,68.57
69.75,68.26
