real,pred
69.42,70.53
69.54,70.0
66.56,69.85
66.44,70.16
74.56,70.03
73.74,70.14
72.19,70.5
74.42,70.89
73.11,70.13
73.3,70.34
73.63,70.38
67.15,69.81
68.82,70.01
68.56,68.96
71.96,69.91
68.18,69.86
72.67,70.24
78.76,69.76
68.43,69.74
70.34,69.78
66.68,70.1
68.21,70.41
70.98,70.47
71.39,70.18
71.0,70.35
68.02,70.32
73.62,70.22
70.34,70.24
69.14,70.22
69.58,70.2
66.75,69.95
70.25,69.83
65.99,69.84
67.38,69.64
69.22,69.81
70.26,69.75
66.02,69.72
68.78,70.11
69.55,69.54
65.92,69.69
70.97,69.26
70.88,69.3
69.68,69.29
68.87,69.42
68.27,69.19
65.36,69.09
67.17,68.82
83.35,68.83
65.78,68.82
83.35,68.88
71.31,68.97
65.38,68.87
83.36,68.88
83.35,68.75
65.7,68.5
68.7,68.68
70.44,68.6
83.35,68.8
83.35,68.75
65.48,69.43
69.07,69.29
83.35,69.53
70.97,69.31
83.35,69.28
66.48,69.25
70.33,68.74
66.72,69.1
67.66,69.24
83.35,69.42
83.35,69.56
67.66,69.58
83.36,69.75
83.35,69.78
68.09,69.79
71.48,69.76
67.64,69.77
72.45,69.66
71.74,69.56
73.24,69.68
72.59,69.74
71.31,69.76
70.66,70.02
71.52,69.92
69.75,69.54
71.46,69.5
71.39,69.43
71.0,69.69
66.38,69.73
71.19,69.8
66.95,69.58
66.6,70.05
71.02,69.87
66.74,69.96
71.14,69.93
67.45,69.86
70.31,69.6
71.14,70.12
66.13,69.94
70.35,70.05
66.12,70.17
65.51,70.06
69.58,69.83
71.26,70.1
66.68,69.86
71.86,69.96
70.42,69.52
72.22,69.42
69.85,69.72
67.19,69.67
67.63,69.7
71.21,69.59
66.94,69.66
66.63,69.49
69.43,69.94
65.93,69.63
68.63,69.73
70.53,69.06
70.69,68.95
65.17,68.73
70.89,68.96
71.07,68.92
71.04,69.19
69.09,69.38
69.63,69.46
66.69,69.72
70.65,69.71
66.5,69.59
70.18,69.56
66.2,69.05
64.61,69.23
72.17,69.2
70.35,69.25
70.72,69.0
69.87,69.19
74.52,69.06
68.9,69.41
68.87,69.22
67.58,69.65
65.05,69.74
69.22,69.64
70.81,69.61
65.92,69.89
69.42,69.95
69.82,69.7
68.67,70.16
69.48,70.42
69.91,70.51
69.64,70.29
69.56,70.32
69.35,69.91
69.4,69.86
69.03,69.94
68.75,70.12
68.81,69.64
69.92,69.85
68.15,69.95
76.4,69.55
72.03,68.93
71.01,69.01
70.85,69.31
71.26,69.62
67.85,69.35
66.12,69.44
65.87,69.36
69.75,69.23
