real,pred
69.71,70.05
69.23,69.26
67.09,69.89
71.03,69.43
68.71,69.24
70.72,69.44
70.16,69.19
71.55,69.11
70.2,69.48
68.51,69.94
70.65,70.03
70.37,69.78
70.93,69.3
70.58,69.06
70.41,69.06
70.43,68.69
68.91,68.82
69.1,69.42
68.12,69.59
67.5,70.01
69.42,69.52
69.54,69.79
66.56,69.48
66.44,68.97
74.56,69.38
73.74,69.18
72.19,68.86
74.42,68.63
73.11,68.92
73.3,69.43
73.63,69.3
67.15,69.03
68.82,69.43
68.56,69.49
71.96,69.2
68.18,69.29
72.67,69.52
78.76,69.25
68.43,69.83
70.34,69.71
66.68,69.21
68.21,69.21
70.98,68.95
71.39,68.64
71.0,69.8
68.02,69.54
73.62,69.41
70.34,69.29
69.14,69.3
69.58,69.64
66.75,69.04
70.25,69.27
65.99,68.96
67.38,68.72
69.22,68.03
70.26,67.98
66.02,68.29
68.78,68.05
69.55,68.67
65.92,69.24
70.97,68.77
70.88,69.55
69.68,69.07
68.87,68.88
68.27,69.27
65.36,69.47
67.17,68.82
83.35,68.45
65.78,68.52
83.35,68.62
71.31,68.73
65.38,69.16
83.36,69.05
83.35,69.57
65.7,69.2
68.7,68.8
70.44,69.81
83.35,69.1
83.35,69.3
65.48,69.55
69.07,69.46
83.35,69.19
70.97,69.32
83.35,69.88
66.48,69.78
70.33,69.63
66.72,69.76
67.66,69.32
83.35,69.34
83.35,70.11
67.66,70.05
83.36,70.13
83.35,70.38
68.09,70.34
71.48,70.48
67.64,70.32
72.45,69.9
71.74,69.85
73.24,69.68
72.59,69.15
71.31,69.32
70.66,69.43
71.52,68.86
69.75,69.59
71.46,69.22
71.39,70.35
71.0,70.1
66.38,69.8
71.19,70.23
66.95,70.04
66.6,69.79
71.02,69.76
66.74,69.96
71.14,69.5
67.45,68.98
70.31,68.9
71.14,68.8
66.13,68.43
70.35,69.04
66.12,69.55
65.51,69.6
69.58,69.48
71.26,69.46
66.68,69.63
71.86,69.45
70.42,69.5
72.22,69.34
69.85,69.31
67.19,68.72
67.63,68.53
71.21,68.65
66.94,68.25
66.63,68.96
69.43,68.69
65.93,69.04
68.63,69.27
70.53,68.86
70.69,68.82
65.17,68.53
70.89,68.96
71.07,68.9
71.04,68.56
69.09,68.61
69.63,68.51
66.69,68.93
70.65,68.8
66.5,69.3
70.18,69.86
66.2,70.04
64.61,70.03
72.17,69.39
70.35,69.84
70.72,69.33
69.87,69.47
74.52,69.36
68.9,69.43
68.87,69.15
67.58,68.95
65.05,68.96
69.22,69.19
70.81,68.85
65.92,68.92
69.42,68.86
69.82,69.02
68.67,68.5
69.48,68.76
69.91,68.64
69.64,68.61
69.56,68.2
69.35,68.23
69.4,68.75
69.03,68.62
68.75,69.05
68.81,68.45
69.92,69.76
68.15,68.83
76.4,69.41
72.03,69.44
71.01,69.7
70.85,69.57
71.26,69.69
67.85,69.53
66.12,69.17
65.87,69.52
69.75,69.32
