real,pred
70.65,70.25
70.37,69.63
70.93,69.54
70.58,69.69
70.41,69.79
70.43,69.66
68.91,69.81
69.1,69.95
68.12,70.09
67.5,70.87
69.42,70.57
69.54,70.65
66.56,69.63
66.44,69.66
74.56,69.88
73.74,69.79
72.19,69.87
74.42,70.62
73.11,70.89
73.3,71.2
73.63,71.24
67.15,70.52
68.82,70.56
68.56,70.58
71.96,70.35
68.18,70.46
72.67,71.23
78.76,71.62
68.43,71.19
70.34,71.51
66.68,72.23
68.21,72.19
70.98,71.09
71.39,70.5
71.0,70.74
68.02,70.86
73.62,71.29
70.34,71.82
69.14,72.03
69.58,71.67
66.75,70.99
70.25,70.37
65.99,70.63
67.38,70.17
69.22,69.79
70.26,70.43
66.02,69.93
68.78,69.85
69.55,70.25
65.92,70.93
70.97,71.42
70.88,71.31
69.68,70.53
68.87,71.06
68.27,70.86
65.36,71.08
67.17,71.35
83.35,71.58
65.78,71.36
83.35,70.57
71.31,69.8
65.38,69.95
83.36,70.78
83.35,70.89
65.7,70.83
68.7,71.85
70.44,70.63
83.35,69.86
83.35,69.27
65.48,69.26
69.07,70.23
83.35,69.78
70.97,70.28
83.35,70.42
66.48,69.78
70.33,69.86
66.72,69.42
67.66,68.27
83.35,68.07
83.35,68.18
67.66,68.36
83.36,68.83
83.35,68.79
68.09,68.9
71.48,70.1
67.64,69.72
72.45,69.33
71.74,69.4
73.24,69.22
72.59,69.45
71.31,69.22
70.66,69.45
71.52,70.01
69.75,70.21
71.46,70.43
71.39,71.61
71.0,71.47
66.38,71.81
71.19,71.48
66.95,70.76
66.6,70.47
71.02,70.65
66.74,71.21
71.14,71.3
67.45,71.1
70.31,71.42
71.14,71.42
66.13,71.13
70.35,71.09
66.12,71.1
65.51,71.28
69.58,71.83
71.26,72.46
66.68,72.25
71.86,71.87
70.42,70.88
72.22,70.95
69.85,71.23
67.19,71.8
67.63,71.41
71.21,70.73
66.94,70.68
66.63,70.93
69.43,70.86
65.93,71.51
68.63,71.86
70.53,71.63
70.69,71.07
65.17,71.09
70.89,70.1
71.07,69.5
71.04,69.56
69.09,69.7
69.63,70.12
66.69,70.23
70.65,69.65
66.5,69.64
70.18,69.97
66.2,70.86
64.61,70.16
72.17,69.89
70.35,70.33
70.72,70.26
69.87,70.35
74.52,69.51
68.9,69.96
68.87,69.78
67.58,70.28
65.05,70.39
69.22,70.67
70.81,70.86
65.92,70.7
69.42,70.02
69.82,70.31
68.67,70.17
69.48,69.49
69.91,69.72
69.64,70.42
69.56,70.77
69.35,70.66
69.4,70.94
69.03,70.65
68.75,70.94
68.81,71.08
69.92,70.61
68.15,70.64
76.4,70.78
72.03,70.58
71.01,70.11
70.85,70.81
71.26,69.77
67.85,70.04
66.12,69.9
65.87,70.19
69.75,69.76
